x,y
10.992,483.0
11.022,118.0
11.052,229.0
11.082,137.0
11.112,-212.0
11.142,7.0
11.172,320.0
11.202,-81.0
11.232,-464.0
11.262,-247.0
11.292,114.0
11.322,163.0
11.352,-2.0
11.382,73.0
11.412,358.0
11.442,300.0
11.472,126.0
11.502,-16.0
11.532,-282.0
11.562,-98.0
11.592,80.0
11.622,287.0
11.652,338.0
11.682,337.0
11.712,70.0
11.742,-148.0
11.772,-102.0
11.802,-40.0
11.832,-24.0
11.862,53.0
11.892,64.0
11.922,169.0
11.952,-14.0
11.982,217.0
12.012,430.0
12.042,298.0
12.072,297.0
12.102,277.0
12.132,174.0
12.162,100.0
12.192,228.0
12.222,497.0
12.252,106.0
12.282,13.0
12.312,101.0
12.342,70.0
12.372,43.0
12.402,-83.0
12.432,-29.0
12.462,177.0
12.492,14.0
12.522,-124.0
12.552,-215.0
12.582,16.0
12.612,28.0
12.642,204.0
12.672,273.0
12.702,255.0
12.732,434.0
12.762,298.0
12.792,117.0
12.822,480.0
12.852,684.0
12.882,521.0
12.912,213.0
12.942,3.0
12.972,70.0
13.002,-108.0
13.032,54.0
13.062,-1.0
13.092,-127.0
13.122,14.0
13.152,90.0
13.182,258.0
13.212,-38.0
13.242,-2.0
13.272,29.0
13.302,-78.0
13.332,-462.0
13.362,-215.0
13.392,94.0
13.422,504.0
13.452,265.0
13.482,-79.0
13.512,136.0
13.542,-69.0
13.572,-166.0
13.602,12.0
13.632,391.0
13.662,333.0
13.692,302.0
13.722,411.0
13.752,206.0
13.782,-60.0
13.812,57.0
13.842,-59.0
13.872,79.0
13.902,96.0
13.932,33.0
13.962,-121.0
13.992,-181.0
14.022,11.0
14.052,59.0
14.082,-79.0
14.112,210.0
14.142,325.0
14.172,294.0
14.202,610.0
14.232,172.0
14.262,-297.0
14.292,-346.0
14.322,21.0
14.352,293.0
14.382,116.0
14.412,193.0
14.442,433.0
14.472,21.0
14.502,-510.0
14.532,-173.0
14.562,310.0
14.592,350.0
14.622,187.0
14.652,433.0
14.682,461.0
14.712,700.0
14.742,727.0
14.772,214.0
14.802,-86.0
14.832,-52.0
14.862,312.0
14.892,213.0
14.922,153.0
14.952,97.0
14.982,-184.0
15.012,-133.0
15.042,95.0
15.072,116.0
15.102,-72.0
15.132,-128.0
15.162,78.0
15.192,219.0
15.222,270.0
15.252,299.0
15.282,141.0
15.312,177.0
15.342,-143.0
15.372,-88.0
15.402,483.0
15.432,405.0
