x,y
450.0,-2.373
451.0,-1.886
452.0,-2.629
453.0,-2.36
454.0,-2.085
455.0,-2.13
456.0,-1.854
457.0,-2.313
458.0,-2.595
459.0,-1.784
460.0,-2.369
461.0,-2.183
462.0,-2.32
463.0,-2.013
464.0,-2.178
465.0,-1.764
466.0,-1.834
467.0,-1.354
468.0,-1.127
469.0,-0.23
470.0,0.847
471.0,1.729
472.0,5.54
473.0,8.315
474.0,13.347
475.0,20.564
476.0,29.718
477.0,41.376
478.0,58.748
479.0,78.642
480.0,105.119
481.0,138.429
482.0,171.909
483.0,214.205
484.0,271.43
485.0,325.109
486.0,397.55
487.0,486.652
488.0,562.492
489.0,659.749
490.0,772.854
491.0,868.132
492.0,988.609
493.0,1128.921
494.0,1245.415
495.0,1379.482
496.0,1531.552
497.0,1655.076
498.0,1811.154
499.0,1958.083
500.0,2091.964
501.0,2236.259
502.0,2407.633
503.0,2527.381
504.0,2665.013
505.0,2802.851
506.0,2909.776
507.0,3031.493
508.0,3137.901
509.0,3227.51
510.0,3326.913
511.0,3428.712
512.0,3479.834
513.0,3552.585
514.0,3618.288
515.0,3658.619
516.0,3723.421
517.0,3753.379
518.0,3782.872
519.0,3818.384
520.0,3836.672
521.0,3867.537
522.0,3881.272
523.0,3892.246
524.0,3898.424
525.0,3902.31
526.0,3897.02
527.0,3900.79
528.0,3909.507
529.0,3897.051
530.0,3908.083
531.0,3901.826
532.0,3908.518
533.0,3893.912
534.0,3889.134
535.0,3901.282
536.0,3894.923
537.0,3880.968
538.0,3871.63
539.0,3884.94
540.0,3884.116
541.0,3879.941
542.0,3886.868
543.0,3885.79
544.0,3897.891
545.0,3890.882
546.0,3889.726
547.0,3902.807
548.0,3913.247
549.0,3923.84
550.0,3942.097
551.0,3945.212
552.0,3957.709
553.0,3988.965
554.0,4003.426
555.0,4018.117
556.0,4048.377
557.0,4067.784
558.0,4091.549
559.0,4118.73
560.0,4152.851
561.0,4187.753
562.0,4219.333
563.0,4249.812
564.0,4298.317
565.0,4323.839
566.0,4383.032
567.0,4406.055
568.0,4448.033
569.0,4500.54
570.0,4564.635
571.0,4600.225
572.0,4648.583
573.0,4724.733
574.0,4782.645
575.0,4853.478
576.0,4898.818
577.0,4988.099
578.0,5030.003
579.0,5104.938
580.0,5174.921
581.0,5264.716
582.0,5325.025
583.0,5404.092
584.0,5500.843
585.0,5570.19
586.0,5646.556
587.0,5725.31
588.0,5814.195
589.0,5884.525
590.0,5999.586
591.0,6082.099
592.0,6160.059
593.0,6249.352
594.0,6313.232
595.0,6422.852
596.0,6516.069
597.0,6620.346
598.0,6722.317
599.0,6807.195
600.0,6904.785
601.0,6986.187
602.0,7099.932
603.0,7205.015
604.0,7291.746
605.0,7375.196
606.0,7455.136
607.0,7576.983
608.0,7682.872
609.0,7765.867
610.0,7927.497
611.0,8029.48
612.0,8160.038
613.0,8311.032
614.0,8420.05
615.0,8574.981
616.0,8721.954
617.0,8856.026
618.0,9024.967
619.0,9168.289
620.0,9330.949
621.0,9462.784
622.0,9590.539
623.0,9740.942
624.0,9858.287
625.0,9947.542
626.0,10037.965
627.0,10156.317
628.0,10250.404
629.0,10334.23
630.0,10436.004
631.0,10488.304
632.0,10584.815
633.0,10629.626
634.0,10684.895
635.0,10756.771
636.0,10829.581
637.0,10857.345
638.0,10978.305
639.0,10988.81
640.0,11027.911
641.0,11089.039
642.0,11159.515
643.0,11217.748
644.0,11316.69
645.0,11355.308
646.0,11436.248
647.0,11477.328
648.0,11494.063
649.0,11538.983
650.0,11555.055
651.0,11596.757
652.0,11635.29
653.0,11665.476
654.0,11691.903
655.0,11686.001
656.0,11662.655
657.0,11706.242
658.0,11734.757
659.0,11725.72
660.0,11747.012
661.0,11714.257
662.0,11765.997
663.0,11795.881
664.0,11809.018
665.0,11808.317
666.0,11841.195
667.0,11861.098
668.0,11882.293
669.0,11894.142
670.0,11894.947
671.0,11917.772
672.0,11903.571
673.0,11910.675
674.0,11935.618
675.0,11847.168
676.0,11884.879
677.0,11920.111
678.0,11816.412
679.0,11817.553
680.0,11839.648
681.0,11782.36
682.0,11747.716
683.0,11706.207
684.0,11666.071
685.0,11638.365
686.0,11627.225
687.0,11601.14
688.0,11505.121
689.0,11464.799
690.0,11411.646
691.0,11349.045
692.0,11303.894
693.0,11319.831
694.0,11217.93
695.0,11147.684
696.0,11125.534
697.0,11041.305
698.0,10989.186
699.0,10968.524
700.0,10891.862
701.0,10833.775
702.0,10801.328
703.0,10706.599
704.0,10688.245
705.0,10671.224
706.0,10555.702
707.0,10500.522
708.0,10384.861
709.0,10193.95
710.0,10041.521
