"Summary"
"[Software Information]"
"Software Name:"	"LabSolutions RF"
"Version:"	"1,19"
"[Data Information]"
"Data is:"	"Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:"	"19.11.2025 14:30:13"
"Comments"
"[Instrument Information]"
"Instrument Name:"	"Photoluminescence Spectrometer"
"Instrument Type:"	"RF-6000 Series"
"Model (S/N):"	"RF-6000 (A40245601305SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:"	"Emission"
"EX Wavelength:"	"390,0 nm"
"EM Wavelength Start:"	"450,0 nm"
"EM Wavelength End:"	"900,0 nm"
"Data Interval:"	"1,0 nm"
"Scan Speed:"	"2000 nm/min"
"[Instrument]"
"EX Bandwidth:"	"20,0 nm"
"EM Bandwidth:"	"20,0 nm"
"Sensitivity:"	"Low"
"[Attachment]"
"Attachment:"	"None"
"[Auto Print]"
"Auto Print:"	"No"
"Report File:"	""

"ReTz+BCN_MeCN_exc390_bwboth20nm_Y50#2 - CorrectionData"
"Wavelength nm."	"Intensity"
450	-2,373
451	-1,886
452	-2,629
453	-2,360
454	-2,085
455	-2,130
456	-1,854
457	-2,313
458	-2,595
459	-1,784
460	-2,369
461	-2,183
462	-2,320
463	-2,013
464	-2,178
465	-1,764
466	-1,834
467	-1,354
468	-1,127
469	-0,230
470	0,847
471	1,729
472	5,540
473	8,315
474	13,347
475	20,564
476	29,718
477	41,376
478	58,748
479	78,642
480	105,119
481	138,429
482	171,909
483	214,205
484	271,430
485	325,109
486	397,550
487	486,652
488	562,492
489	659,749
490	772,854
491	868,132
492	988,609
493	1128,921
494	1245,415
495	1379,482
496	1531,552
497	1655,076
498	1811,154
499	1958,083
500	2091,964
501	2236,259
502	2407,633
503	2527,381
504	2665,013
505	2802,851
506	2909,776
507	3031,493
508	3137,901
509	3227,510
510	3326,913
511	3428,712
512	3479,834
513	3552,585
514	3618,288
515	3658,619
516	3723,421
517	3753,379
518	3782,872
519	3818,384
520	3836,672
521	3867,537
522	3881,272
523	3892,246
524	3898,424
525	3902,310
526	3897,020
527	3900,790
528	3909,507
529	3897,051
530	3908,083
531	3901,826
532	3908,518
533	3893,912
534	3889,134
535	3901,282
536	3894,923
537	3880,968
538	3871,630
539	3884,940
540	3884,116
541	3879,941
542	3886,868
543	3885,790
544	3897,891
545	3890,882
546	3889,726
547	3902,807
548	3913,247
549	3923,840
550	3942,097
551	3945,212
552	3957,709
553	3988,965
554	4003,426
555	4018,117
556	4048,377
557	4067,784
558	4091,549
559	4118,730
560	4152,851
561	4187,753
562	4219,333
563	4249,812
564	4298,317
565	4323,839
566	4383,032
567	4406,055
568	4448,033
569	4500,540
570	4564,635
571	4600,225
572	4648,583
573	4724,733
574	4782,645
575	4853,478
576	4898,818
577	4988,099
578	5030,003
579	5104,938
580	5174,921
581	5264,716
582	5325,025
583	5404,092
584	5500,843
585	5570,190
586	5646,556
587	5725,310
588	5814,195
589	5884,525
590	5999,586
591	6082,099
592	6160,059
593	6249,352
594	6313,232
595	6422,852
596	6516,069
597	6620,346
598	6722,317
599	6807,195
600	6904,785
601	6986,187
602	7099,932
603	7205,015
604	7291,746
605	7375,196
606	7455,136
607	7576,983
608	7682,872
609	7765,867
610	7927,497
611	8029,480
612	8160,038
613	8311,032
614	8420,050
615	8574,981
616	8721,954
617	8856,026
618	9024,967
619	9168,289
620	9330,949
621	9462,784
622	9590,539
623	9740,942
624	9858,287
625	9947,542
626	10037,965
627	10156,317
628	10250,404
629	10334,230
630	10436,004
631	10488,304
632	10584,815
633	10629,626
634	10684,895
635	10756,771
636	10829,581
637	10857,345
638	10978,305
639	10988,810
640	11027,911
641	11089,039
642	11159,515
643	11217,748
644	11316,690
645	11355,308
646	11436,248
647	11477,328
648	11494,063
649	11538,983
650	11555,055
651	11596,757
652	11635,290
653	11665,476
654	11691,903
655	11686,001
656	11662,655
657	11706,242
658	11734,757
659	11725,720
660	11747,012
661	11714,257
662	11765,997
663	11795,881
664	11809,018
665	11808,317
666	11841,195
667	11861,098
668	11882,293
669	11894,142
670	11894,947
671	11917,772
672	11903,571
673	11910,675
674	11935,618
675	11847,168
676	11884,879
677	11920,111
678	11816,412
679	11817,553
680	11839,648
681	11782,360
682	11747,716
683	11706,207
684	11666,071
685	11638,365
686	11627,225
687	11601,140
688	11505,121
689	11464,799
690	11411,646
691	11349,045
692	11303,894
693	11319,831
694	11217,930
695	11147,684
696	11125,534
697	11041,305
698	10989,186
699	10968,524
700	10891,862
701	10833,775
702	10801,328
703	10706,599
704	10688,245
705	10671,224
706	10555,702
707	10500,522
708	10384,861
709	10193,950
710	10041,521
711	10179,681
712	10159,185
713	10034,470
714	9956,794
715	9902,402
716	9836,126
717	9790,741
718	9716,546
719	9668,148
720	9588,169
721	9524,542
722	9446,733
723	9366,925
724	9314,401
725	9215,693
726	9147,089
727	9079,630
728	9012,424
729	8981,754
730	8866,546
731	8807,559
732	8732,177
733	8657,024
734	8573,979
735	8484,794
736	8391,494
737	8381,731
738	8254,005
739	8209,076
740	8188,255
741	8059,896
742	8040,706
743	7953,465
744	7937,356
745	7849,761
746	7741,396
747	7717,215
748	7586,711
749	7533,838
750	7458,953
751	7435,855
752	7322,205
753	7298,520
754	7210,858
755	7145,575
756	7066,604
757	7002,707
758	6931,145
759	6913,996
760	6817,973
761	6723,944
762	6663,688
763	6592,696
764	6558,086
765	6499,297
766	6390,947
767	6334,879
768	6277,287
769	6203,649
770	6129,222
771	6076,429
772	6022,941
773	5935,447
774	5882,323
775	5860,375
776	5755,892
777	5750,076
778	5632,686
779	5612,491
780	5530,502
781	5428,376
782	5466,706
783	5332,676
784	5273,473
785	5198,064
786	5194,033
787	5127,582
788	5073,578
789	4983,380
790	4936,969
791	4915,621
792	4871,142
793	4846,070
794	4761,331
795	4687,781
796	4622,278
797	4588,240
798	4556,898
799	4434,884
800	4455,365
801	4345,291
802	4328,371
803	4294,921
804	4177,458
805	4145,569
806	4141,453
807	4087,727
808	3994,404
809	3917,075
810	3895,174
811	3852,009
812	3835,471
813	3756,967
814	3686,833
815	3657,194
816	3604,284
817	3534,238
818	3507,083
819	3439,197
820	3400,598
821	3358,133
822	3309,643
823	3242,449
824	3222,545
825	3198,880
826	3104,142
827	3028,606
828	3001,118
829	2960,355
830	2916,753
831	2890,643
832	2883,628
833	2900,813
834	2803,364
835	2750,445
836	2730,673
837	2737,847
838	2774,794
839	2668,083
840	2667,550
841	2614,510
842	2605,483
843	2533,209
844	2590,614
845	2519,284
846	2432,758
847	2518,316
848	2338,995
849	2346,754
850	2310,206
851	2095,323
852	1879,462
853	1674,448
854	1634,677
855	1418,761
856	1214,627
857	1172,026
858	1068,678
859	917,378
860	819,500
861	683,233
862	642,185
863	522,786
864	496,019
865	414,187
866	402,145
867	339,276
868	240,248
869	225,710
870	181,737
871	164,999
872	114,784
873	81,338
874	66,219
875	45,234
876	61,672
877	29,284
878	-9,771
879	34,076
880	38,862
881	-38,467
882	-19,862
883	-55,725
884	-18,531
885	-63,967
886	-68,508
887	-53,636
888	-82,882
889	-76,742
890	-74,894
891	-92,409
892	-76,971
893	-105,936
894	-76,701
895	-63,700
896	-82,861
897	-80,221
898	-93,177
899	-70,581
900	-73,247
