x,y
475.0,1108.23
476.0,895.633
477.0,690.226
478.0,505.987
479.0,406.95
480.0,316.229
481.0,254.486
482.0,225.267
483.0,203.6
484.0,193.026
485.0,188.844
486.0,188.993
487.0,188.388
488.0,190.987
489.0,193.15
490.0,195.947
491.0,196.044
492.0,201.319
493.0,205.513
494.0,206.126
495.0,211.421
496.0,217.866
497.0,219.53
498.0,226.96
499.0,233.763
500.0,238.653
501.0,246.432
502.0,250.799
503.0,259.397
504.0,265.848
505.0,272.615
506.0,280.372
507.0,288.748
508.0,296.686
509.0,302.248
510.0,312.341
511.0,321.725
512.0,321.861
513.0,329.332
514.0,336.036
515.0,337.935
516.0,340.018
517.0,343.077
518.0,342.042
519.0,342.162
520.0,341.832
521.0,335.121
522.0,329.098
523.0,326.177
524.0,320.922
525.0,310.57
526.0,297.66
527.0,291.29
528.0,278.464
529.0,268.328
530.0,255.046
531.0,243.946
532.0,231.523
533.0,221.046
534.0,206.701
535.0,194.277
536.0,186.347
537.0,173.397
538.0,161.783
539.0,152.045
540.0,143.227
541.0,132.947
542.0,127.835
543.0,120.867
544.0,114.243
545.0,109.186
546.0,104.442
547.0,101.091
548.0,98.871
549.0,93.948
550.0,92.54
551.0,89.985
552.0,90.242
553.0,88.074
554.0,87.193
555.0,85.969
556.0,87.323
557.0,84.477
558.0,85.333
559.0,85.658
560.0,85.723
561.0,84.359
562.0,86.651
563.0,87.628
564.0,85.019
565.0,86.642
566.0,85.868
567.0,88.276
568.0,87.661
569.0,86.594
570.0,87.646
571.0,88.328
572.0,88.353
573.0,88.283
574.0,88.873
575.0,87.988
576.0,89.031
577.0,90.119
578.0,89.034
579.0,91.082
580.0,90.823
581.0,91.894
582.0,91.826
583.0,93.795
584.0,92.948
585.0,93.281
586.0,95.266
587.0,95.313
588.0,94.16
589.0,97.366
590.0,97.414
591.0,95.889
592.0,99.359
593.0,99.407
594.0,99.234
595.0,100.192
596.0,98.566
597.0,101.435
598.0,103.357
599.0,105.132
600.0,104.06
601.0,105.914
602.0,106.344
603.0,105.355
604.0,106.081
605.0,109.345
606.0,111.05
607.0,109.192
608.0,111.78
609.0,111.651
610.0,112.839
611.0,115.489
612.0,116.179
613.0,118.267
614.0,119.558
615.0,123.909
616.0,123.673
617.0,125.349
618.0,127.894
619.0,130.292
620.0,132.5
621.0,131.332
622.0,133.161
623.0,136.183
624.0,137.293
625.0,139.787
626.0,141.908
627.0,145.463
628.0,148.145
629.0,146.027
630.0,146.404
631.0,148.469
632.0,148.458
633.0,153.186
634.0,152.585
635.0,152.951
636.0,155.906
637.0,155.904
638.0,157.364
639.0,159.282
640.0,162.658
641.0,165.305
642.0,162.832
643.0,166.574
644.0,169.21
645.0,166.102
646.0,172.585
647.0,173.094
648.0,173.796
649.0,178.789
650.0,176.862
651.0,181.335
652.0,181.325
653.0,183.246
654.0,183.787
655.0,186.447
656.0,189.743
657.0,187.815
658.0,188.668
659.0,191.512
660.0,193.164
661.0,195.122
662.0,197.38
663.0,197.796
664.0,201.902
665.0,204.138
666.0,206.19
667.0,204.464
668.0,206.62
669.0,211.309
670.0,209.799
671.0,215.446
672.0,218.047
673.0,215.798
674.0,220.044
675.0,221.798
676.0,222.108
677.0,221.348
678.0,226.956
679.0,230.04
680.0,225.013
681.0,231.063
682.0,233.226
683.0,233.4
684.0,232.315
685.0,234.882
686.0,234.581
687.0,236.872
688.0,237.542
689.0,238.087
690.0,237.144
691.0,241.224
692.0,241.657
693.0,242.771
694.0,244.617
695.0,250.143
696.0,244.734
697.0,247.257
698.0,247.416
699.0,252.603
700.0,249.644
701.0,245.715
702.0,253.9
703.0,253.118
704.0,252.268
705.0,253.875
706.0,254.555
707.0,258.431
708.0,255.707
709.0,251.189
710.0,253.537
711.0,260.881
712.0,263.131
713.0,260.508
714.0,260.522
715.0,263.104
716.0,265.645
717.0,267.208
718.0,266.444
719.0,262.238
720.0,264.398
721.0,257.047
722.0,262.222
723.0,266.505
724.0,270.18
725.0,268.087
726.0,270.975
727.0,269.243
728.0,265.408
729.0,271.557
730.0,270.214
731.0,267.406
732.0,268.24
733.0,270.748
734.0,267.596
735.0,270.385
736.0,267.015
737.0,270.526
738.0,272.503
739.0,266.555
740.0,267.625
741.0,264.372
742.0,270.165
743.0,275.946
744.0,266.19
745.0,269.401
746.0,267.174
747.0,272.872
748.0,269.255
749.0,266.97
750.0,274.453
751.0,264.429
752.0,267.171
753.0,270.269
754.0,266.969
755.0,269.985
756.0,267.146
757.0,265.663
758.0,265.217
759.0,268.664
760.0,271.97
761.0,268.108
762.0,266.861
763.0,266.476
764.0,268.842
765.0,260.342
766.0,261.238
767.0,257.442
768.0,257.271
769.0,262.425
770.0,262.332
771.0,262.324
772.0,268.099
773.0,257.513
774.0,263.094
775.0,267.489
776.0,270.282
777.0,255.941
778.0,258.196
779.0,264.464
780.0,261.017
781.0,254.176
782.0,258.75
783.0,260.947
784.0,261.355
785.0,264.701
786.0,253.645
787.0,260.244
788.0,261.425
789.0,253.999
790.0,250.909
791.0,247.337
792.0,254.273
793.0,253.804
794.0,247.588
795.0,248.736
796.0,259.023
797.0,254.774
798.0,244.661
799.0,241.156
800.0,243.158
801.0,242.215
802.0,247.606
803.0,238.253
804.0,244.814
805.0,244.545
806.0,238.573
807.0,247.914
808.0,249.655
809.0,238.075
810.0,243.584
811.0,236.113
812.0,236.195
813.0,233.601
814.0,236.563
815.0,224.216
816.0,233.302
817.0,230.508
818.0,229.942
819.0,236.842
820.0,224.862
821.0,226.345
822.0,222.549
823.0,230.226
824.0,222.027
825.0,233.617
826.0,225.788
827.0,234.776
828.0,218.901
829.0,234.895
830.0,219.939
831.0,223.894
832.0,235.521
833.0,232.215
834.0,230.689
835.0,240.366
836.0,243.878
837.0,236.753
838.0,253.635
839.0,263.95
840.0,274.121
841.0,274.492
842.0,280.751
843.0,311.167
844.0,303.624
845.0,337.186
846.0,308.065
847.0,342.83
848.0,379.239
849.0,387.772
850.0,427.203
851.0,429.41
852.0,428.461
853.0,465.856
854.0,489.367
855.0,530.52
856.0,584.737
857.0,660.484
858.0,730.719
