"Summary"
"[Software Information]"
"Software Name:"	"LabSolutions RF"
"Version:"	"1,19"
"[Data Information]"
"Data is:"	"Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:"	"19.11.2025 13:59:27"
"Comments"
"[Instrument Information]"
"Instrument Name:"	"Photoluminescence Spectrometer"
"Instrument Type:"	"RF-6000 Series"
"Model (S/N):"	"RF-6000 (A40245601305SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:"	"Emission"
"EX Wavelength:"	"450,0 nm"
"EM Wavelength Start:"	"475,0 nm"
"EM Wavelength End:"	"875,0 nm"
"Data Interval:"	"1,0 nm"
"Scan Speed:"	"2000 nm/min"
"[Instrument]"
"EX Bandwidth:"	"20,0 nm"
"EM Bandwidth:"	"20,0 nm"
"Sensitivity:"	"Low"
"[Attachment]"
"Attachment:"	"None"
"[Auto Print]"
"Auto Print:"	"No"
"Report File:"	""

"ReTz_MeCN_exc450_bwboth20nm_nofilter - CorrectionData"
"Wavelength nm."	"Intensity"
475	1108,230
476	895,633
477	690,226
478	505,987
479	406,950
480	316,229
481	254,486
482	225,267
483	203,600
484	193,026
485	188,844
486	188,993
487	188,388
488	190,987
489	193,150
490	195,947
491	196,044
492	201,319
493	205,513
494	206,126
495	211,421
496	217,866
497	219,530
498	226,960
499	233,763
500	238,653
501	246,432
502	250,799
503	259,397
504	265,848
505	272,615
506	280,372
507	288,748
508	296,686
509	302,248
510	312,341
511	321,725
512	321,861
513	329,332
514	336,036
515	337,935
516	340,018
517	343,077
518	342,042
519	342,162
520	341,832
521	335,121
522	329,098
523	326,177
524	320,922
525	310,570
526	297,660
527	291,290
528	278,464
529	268,328
530	255,046
531	243,946
532	231,523
533	221,046
534	206,701
535	194,277
536	186,347
537	173,397
538	161,783
539	152,045
540	143,227
541	132,947
542	127,835
543	120,867
544	114,243
545	109,186
546	104,442
547	101,091
548	98,871
549	93,948
550	92,540
551	89,985
552	90,242
553	88,074
554	87,193
555	85,969
556	87,323
557	84,477
558	85,333
559	85,658
560	85,723
561	84,359
562	86,651
563	87,628
564	85,019
565	86,642
566	85,868
567	88,276
568	87,661
569	86,594
570	87,646
571	88,328
572	88,353
573	88,283
574	88,873
575	87,988
576	89,031
577	90,119
578	89,034
579	91,082
580	90,823
581	91,894
582	91,826
583	93,795
584	92,948
585	93,281
586	95,266
587	95,313
588	94,160
589	97,366
590	97,414
591	95,889
592	99,359
593	99,407
594	99,234
595	100,192
596	98,566
597	101,435
598	103,357
599	105,132
600	104,060
601	105,914
602	106,344
603	105,355
604	106,081
605	109,345
606	111,050
607	109,192
608	111,780
609	111,651
610	112,839
611	115,489
612	116,179
613	118,267
614	119,558
615	123,909
616	123,673
617	125,349
618	127,894
619	130,292
620	132,500
621	131,332
622	133,161
623	136,183
624	137,293
625	139,787
626	141,908
627	145,463
628	148,145
629	146,027
630	146,404
631	148,469
632	148,458
633	153,186
634	152,585
635	152,951
636	155,906
637	155,904
638	157,364
639	159,282
640	162,658
641	165,305
642	162,832
643	166,574
644	169,210
645	166,102
646	172,585
647	173,094
648	173,796
649	178,789
650	176,862
651	181,335
652	181,325
653	183,246
654	183,787
655	186,447
656	189,743
657	187,815
658	188,668
659	191,512
660	193,164
661	195,122
662	197,380
663	197,796
664	201,902
665	204,138
666	206,190
667	204,464
668	206,620
669	211,309
670	209,799
671	215,446
672	218,047
673	215,798
674	220,044
675	221,798
676	222,108
677	221,348
678	226,956
679	230,040
680	225,013
681	231,063
682	233,226
683	233,400
684	232,315
685	234,882
686	234,581
687	236,872
688	237,542
689	238,087
690	237,144
691	241,224
692	241,657
693	242,771
694	244,617
695	250,143
696	244,734
697	247,257
698	247,416
699	252,603
700	249,644
701	245,715
702	253,900
703	253,118
704	252,268
705	253,875
706	254,555
707	258,431
708	255,707
709	251,189
710	253,537
711	260,881
712	263,131
713	260,508
714	260,522
715	263,104
716	265,645
717	267,208
718	266,444
719	262,238
720	264,398
721	257,047
722	262,222
723	266,505
724	270,180
725	268,087
726	270,975
727	269,243
728	265,408
729	271,557
730	270,214
731	267,406
732	268,240
733	270,748
734	267,596
735	270,385
736	267,015
737	270,526
738	272,503
739	266,555
740	267,625
741	264,372
742	270,165
743	275,946
744	266,190
745	269,401
746	267,174
747	272,872
748	269,255
749	266,970
750	274,453
751	264,429
752	267,171
753	270,269
754	266,969
755	269,985
756	267,146
757	265,663
758	265,217
759	268,664
760	271,970
761	268,108
762	266,861
763	266,476
764	268,842
765	260,342
766	261,238
767	257,442
768	257,271
769	262,425
770	262,332
771	262,324
772	268,099
773	257,513
774	263,094
775	267,489
776	270,282
777	255,941
778	258,196
779	264,464
780	261,017
781	254,176
782	258,750
783	260,947
784	261,355
785	264,701
786	253,645
787	260,244
788	261,425
789	253,999
790	250,909
791	247,337
792	254,273
793	253,804
794	247,588
795	248,736
796	259,023
797	254,774
798	244,661
799	241,156
800	243,158
801	242,215
802	247,606
803	238,253
804	244,814
805	244,545
806	238,573
807	247,914
808	249,655
809	238,075
810	243,584
811	236,113
812	236,195
813	233,601
814	236,563
815	224,216
816	233,302
817	230,508
818	229,942
819	236,842
820	224,862
821	226,345
822	222,549
823	230,226
824	222,027
825	233,617
826	225,788
827	234,776
828	218,901
829	234,895
830	219,939
831	223,894
832	235,521
833	232,215
834	230,689
835	240,366
836	243,878
837	236,753
838	253,635
839	263,950
840	274,121
841	274,492
842	280,751
843	311,167
844	303,624
845	337,186
846	308,065
847	342,830
848	379,239
849	387,772
850	427,203
851	429,410
852	428,461
853	465,856
854	489,367
855	530,520
856	584,737
857	660,484
858	730,719
859	877,021
860	997,985
861	1179,586
862	1396,119
863	1689,044
864	1921,529
865	2194,187
866	2586,930
867	2963,791
868	3388,315
869	3920,034
870	4360,985
871	4906,655
872	5556,709
873	6059,814
874	6817,634
875	7341,786
