x,y
900.0,0.0135889
899.8,0.0145137
899.6,0.0141038
899.4,0.0141772
899.2,0.0146695
899.0,0.0143453
898.8,0.0134882
898.6,0.0133006
898.4,0.0132893
898.2,0.0128503
898.0,0.0125886
897.8,0.0125182
897.6,0.013042
897.4,0.0133252
897.2,0.0129344
897.0,0.0132679
896.8,0.0129947
896.6,0.0124801
896.4,0.0126684
896.2,0.012534
896.0,0.0127934
895.8,0.0130012
895.6,0.0129982
895.4,0.0130087
895.2,0.0126132
895.0,0.0129035
894.8,0.0129132
894.6,0.0126696
894.4,0.013377
894.2,0.013406
894.0,0.0127128
893.8,0.0137101
893.6,0.014399
893.4,0.0131803
893.2,0.0122919
893.0,0.0125425
892.8,0.0131693
892.6,0.0136404
892.4,0.0134974
892.2,0.0128629
892.0,0.0126835
891.8,0.0128835
891.6,0.0130781
891.4,0.0130808
891.2,0.0122763
891.0,0.0115927
890.8,0.0123759
890.6,0.0122016
890.4,0.0119573
890.2,0.0124218
890.0,0.0122819
889.8,0.0122113
889.6,0.012406
889.4,0.0119875
889.2,0.0112901
889.0,0.0111286
888.8,0.0120308
888.6,0.0128289
888.4,0.0124246
888.2,0.0115991
888.0,0.0118523
887.8,0.0123368
887.6,0.0119485
887.4,0.0121581
887.2,0.0123095
887.0,0.0124371
886.8,0.0120178
886.6,0.0120816
886.4,0.0128463
886.2,0.0121973
886.0,0.0118339
885.8,0.0123142
885.6,0.0124068
885.4,0.0115683
885.2,0.010976
885.0,0.0110542
884.8,0.0116152
884.6,0.0119046
884.4,0.0113348
884.2,0.0113521
884.0,0.0118372
883.8,0.0126996
883.6,0.0126274
883.4,0.0122584
883.2,0.0122261
883.0,0.0116549
882.8,0.0117109
882.6,0.0118055
882.4,0.0116069
882.2,0.0113287
882.0,0.0111289
881.8,0.0114521
881.6,0.0116913
881.4,0.0115232
881.2,0.011489
881.0,0.0119643
880.8,0.0119641
880.6,0.012095
880.4,0.0117219
880.2,0.0113664
880.0,0.0118136
879.8,0.0114206
879.6,0.011403
879.4,0.0120403
879.2,0.0120437
879.0,0.011127
878.8,0.0111341
878.6,0.0114226
878.4,0.0113876
878.2,0.0112504
878.0,0.0110746
877.8,0.0113917
877.6,0.0116625
877.4,0.0118406
877.2,0.0117652
877.0,0.0114848
876.8,0.0118676
876.6,0.0120204
876.4,0.0110471
876.2,0.0111463
876.0,0.0114501
875.8,0.0115679
875.6,0.0118392
875.4,0.0117504
875.2,0.0116499
875.0,0.0119606
874.8,0.0119428
874.6,0.0119021
874.4,0.0121427
874.2,0.0118295
874.0,0.0117377
873.8,0.0117614
873.6,0.0119312
873.4,0.0117965
873.2,0.0116157
873.0,0.0114037
872.8,0.0114998
872.6,0.0117534
872.4,0.0116467
872.2,0.0117383
872.0,0.0111515
871.8,0.0110921
871.6,0.0115304
871.4,0.0117107
871.2,0.0119065
871.0,0.0120163
870.8,0.0117457
870.6,0.0114523
870.4,0.0114315
870.2,0.0111733
870.0,0.0114638
869.8,0.0116564
869.6,0.0116701
869.4,0.0115747
869.2,0.0116093
869.0,0.0117981
868.8,0.0117674
868.6,0.0117086
868.4,0.011581
868.2,0.0122509
868.0,0.0124486
867.8,0.01194
867.6,0.0117644
867.4,0.0115006
867.2,0.0111771
867.0,0.0109461
866.8,0.0111227
866.6,0.0114914
866.4,0.011163
866.2,0.0110351
866.0,0.0114679
865.8,0.0113463
865.6,0.0115416
865.4,0.0116671
865.2,0.011206
865.0,0.0115851
864.8,0.0118756
864.6,0.0115232
864.4,0.0116055
864.2,0.011856
864.0,0.0118209
863.8,0.0116771
863.6,0.0116233
863.4,0.0117064
863.2,0.0115459
863.0,0.0117145
862.8,0.0122734
862.6,0.0121122
862.4,0.0116682
862.2,0.0115168
862.0,0.0113348
861.8,0.0116166
861.6,0.0117234
861.4,0.0113911
861.2,0.0112551
861.0,0.0110651
860.8,0.0113991
860.6,0.011536
