x,y
900.0,-0.00292151
899.8,-0.00308236
899.6,-0.00252095
899.4,-0.00195864
899.2,-0.00200046
899.0,-0.00223858
898.8,-0.00271161
898.6,-0.00277825
898.4,-0.00286348
898.2,-0.00259632
898.0,-0.00342109
897.8,-0.00378614
897.6,-0.00302474
897.4,-0.00342929
897.2,-0.00432635
897.0,-0.00455199
896.8,-0.00387553
896.6,-0.0033984
896.4,-0.00396385
896.2,-0.00351464
896.0,-0.00212774
895.8,-0.00276382
895.6,-0.00410254
895.4,-0.00433294
895.2,-0.00383782
895.0,-0.00289971
894.8,-0.00288587
894.6,-0.0037151
894.4,-0.00337352
894.2,-0.00256531
894.0,-0.00255041
893.8,-0.00278152
893.6,-0.0031847
893.4,-0.00332885
893.2,-0.00394853
893.0,-0.00489435
892.8,-0.00392869
892.6,-0.00327195
892.4,-0.00359221
892.2,-0.00383871
892.0,-0.0035874
891.8,-0.00339312
891.6,-0.00410949
891.4,-0.00437868
891.2,-0.00485147
891.0,-0.00568236
890.8,-0.00495303
890.6,-0.00456013
890.4,-0.00458852
890.2,-0.00414299
890.0,-0.003912
889.8,-0.00410581
889.6,-0.00434375
889.4,-0.0043646
889.2,-0.00475317
889.0,-0.00469086
888.8,-0.00426576
888.6,-0.00400828
888.4,-0.00455799
888.2,-0.00442132
888.0,-0.00345976
887.8,-0.0039256
887.6,-0.00446189
887.4,-0.00423636
887.2,-0.00434298
887.0,-0.00401185
886.8,-0.00405425
886.6,-0.00433027
886.4,-0.00403489
886.2,-0.00391937
886.0,-0.00381881
885.8,-0.00389668
885.6,-0.00423511
885.4,-0.00505223
885.2,-0.00541567
885.0,-0.00519335
884.8,-0.00497365
884.6,-0.00523445
884.4,-0.0051175
884.2,-0.00422211
884.0,-0.00422282
883.8,-0.00423999
883.6,-0.00460569
883.4,-0.0048131
883.2,-0.0048583
883.0,-0.00548356
882.8,-0.00558382
882.6,-0.00528369
882.4,-0.00568895
882.2,-0.00525304
882.0,-0.0048656
881.8,-0.00509618
881.6,-0.00511388
881.4,-0.00506084
881.2,-0.00490641
881.0,-0.00523897
880.8,-0.00501142
880.6,-0.00475406
880.4,-0.00517417
880.2,-0.00547869
880.0,-0.00493706
879.8,-0.00507266
879.6,-0.00552157
879.4,-0.00541704
879.2,-0.00534154
879.0,-0.00562665
878.8,-0.00521046
878.6,-0.00476421
878.4,-0.00506559
878.2,-0.00528066
878.0,-0.00553904
877.8,-0.0056036
877.6,-0.00533323
877.4,-0.00541579
877.2,-0.0050622
877.0,-0.00498713
876.8,-0.00554646
876.6,-0.00523796
876.4,-0.00541365
876.2,-0.00555258
876.0,-0.00533044
875.8,-0.00563597
875.6,-0.00571152
875.4,-0.0056172
875.2,-0.00567927
875.0,-0.00548992
874.8,-0.00531642
874.6,-0.00539993
874.4,-0.00550518
874.2,-0.00562528
874.0,-0.0058754
873.8,-0.00558923
873.6,-0.00510521
873.4,-0.00563781
