Datei;time min;time s;Delta_y;Z;
KCl00001.dat;0;0;112.4616038;15.63216293;0.004092247
KCl00002.dat;0.5;30;102.6179172;14.26389049;0.004915005
KCl00003.dat;1;60;97.16585453;13.50605378;0.005482051
KCl00004.dat;1.5;90;87.69991517;12.19028821;0.006729334
KCl00005.dat;2;120;84.96329957;11.80989864;0.00716981
KCl00006.dat;2.5;150;82.48732574;11.46573828;0.007606694
KCl00007.dat;3;180;76.07663332;10.57465203;0.008942683
KCl00008.dat;3.5;210;73.85907205;10.26641101;0.009487738
KCl00009.dat;4;240;71.10748326;9.883940173;0.010236224
KCl00010.dat;4.5;270;68.71440174;9.551301842;0.010961623
KCl00011.dat;5;300;69.55581531;9.668258328;0.010698023
KCl00012.dat;5.5;330;64.57439953;8.975841535;0.012412225
KCl00013.dat;6;360;65.97623284;9.170696365;0.01189037
KCl00014.dat;7;420;59.69000848;8.296911179;0.014526705
KCl00015.dat;8;480;57.61582606;8.008599822;0.015591461
KCl00016.dat;9;540;56.10468402;7.798551079;0.016442663
KCl00017.dat;10;600;51.56115517;7.167000569;0.01946817
KCl00018.dat;11;660;50.40745533;7.006636291;0.020369523
KCl00019.dat;12;720;47.81829558;6.646743086;0.022635089
KCl00020.dat;13;780;47.29754609;6.574358907;0.023136261
KCl00021.dat;14;840;45.0385234;6.260354753;0.025515384
KCl00022.dat;15;900;41.43573448;5.759567093;0.030145349
