x;y
806;-62
806;-59
806;-60
806;-61
807;-59
807;-60
807;-58
807;-61
807;-57
807;-62
808;-59
808;-63
808;-58
808;-60
808;-61
808;-62
809;-64
809;-58
809;-59
809;-65
809;-60
809;-61
809;-62
809;-63
810;-63
810;-65
810;-66
810;-64
810;-61
810;-62
810;-59
810;-58
810;-60
810;-67
810;-57
811;-62
811;-57
811;-66
811;-63
811;-65
811;-58
811;-60
811;-61
811;-59
811;-64
811;-56
812;-61
812;-64
812;-69
812;-68
812;-66
812;-56
812;-63
812;-60
812;-58
812;-59
812;-62
812;-57
812;-67
812;-65
813;-59
813;-62
813;-60
813;-64
813;-56
813;-63
813;-61
813;-68
813;-67
813;-70
813;-71
813;-65
813;-69
813;-57
813;-66
813;-58
814;-63
814;-61
814;-64
814;-62
814;-57
814;-67
814;-69
814;-66
814;-65
814;-71
814;-68
814;-58
814;-56
814;-59
814;-60
814;-70
815;-59
815;-61
815;-62
815;-58
815;-60
815;-64
815;-63
815;-66
815;-71
815;-65
815;-69
815;-70
815;-68
815;-67
815;-56
816;-57
816;-56
816;-63
816;-66
816;-59
816;-69
816;-68
816;-67
816;-71
816;-70
816;-58
816;-60
816;-64
816;-62
816;-61
816;-65
817;-64
817;-69
817;-58
817;-67
817;-68
817;-57
817;-60
817;-70
817;-65
817;-73
817;-62
817;-61
817;-71
817;-63
817;-56
817;-66
817;-59
818;-58
818;-69
818;-64
818;-59
818;-62
818;-57
818;-73
818;-67
818;-68
818;-66
818;-70
818;-71
818;-60
818;-63
818;-61
818;-65
818;-74
818;-72
818;-56
819;-66
819;-63
819;-67
819;-68
819;-56
819;-71
819;-64
819;-60
819;-70
819;-69
819;-73
819;-58
819;-57
819;-62
819;-59
819;-61
819;-65
819;-74
819;-72
820;-61
820;-57
820;-73
820;-72
820;-74
820;-62
820;-59
820;-60
820;-70
820;-75
820;-58
820;-56
820;-64
820;-69
820;-78
820;-77
820;-71
820;-67
820;-68
820;-65
820;-63
820;-66
821;-77
821;-60
821;-59
821;-72
821;-75
821;-76
821;-71
821;-78
821;-70
821;-61
821;-66
821;-67
821;-63
821;-58
821;-62
821;-65
821;-64
821;-69
821;-57
821;-74
821;-73
821;-68
822;-57
822;-62
822;-58
822;-63
822;-75
822;-78
822;-69
822;-79
822;-64
822;-66
822;-61
822;-76
822;-71
822;-65
822;-68
822;-67
822;-70
822;-72
822;-73
822;-59
822;-60
822;-74
822;-77
823;-72
823;-73
823;-61
823;-60
823;-77
823;-74
823;-64
823;-69
823;-70
823;-65
823;-66
823;-67
823;-68
823;-62
823;-63
823;-79
823;-76
823;-78
823;-71
823;-75
824;-68
824;-80
824;-75
824;-77
824;-71
824;-76
824;-69
824;-70
824;-78
824;-79
824;-64
824;-67
824;-66
824;-62
824;-65
824;-63
824;-74
824;-72
824;-60
824;-61
824;-59
824;-73
825;-73
825;-72
825;-74
825;-62
825;-83
825;-71
825;-75
825;-76
825;-70
825;-65
825;-78
825;-77
825;-79
