ENLIGHTEN Version,3.2.36
Measurement ID,,,20260121-152345-906841-WP-01416,20260121-152813-261920-WP-01416,20260121-152926-257183-WP-01416,20260121-153022-722874-WP-01416,20260121-153110-800547-WP-01416,20260121-153153-282554-WP-01416
Serial Number,,,WP-01416,WP-01416,WP-01416,WP-01416,WP-01416,WP-01416
Model,,,WPX-532-R4-EXR-IC,WPX-532-R4-EXR-IC,WPX-532-R4-EXR-IC,WPX-532-R4-EXR-IC,WPX-532-R4-EXR-IC,WPX-532-R4-EXR-IC
Detector,,,S11850-1106,S11850-1106,S11850-1106,S11850-1106,S11850-1106,S11850-1106
Label,,,CH2Br2,CH2Cl2,CHCl3,CDCl3,CCl4,C2Cl4
Declared Match,,,,,,,,
Declared Score,,,0,0,0,0,0,0
Scan Averaging,,,1,1,1,1,1,1
Boxcar,,,1,1,1,1,1,1
Technique,,,,,,,,
Baseline Correction Algo,,,,,,,,
ROI Pixel Start,,,80,80,80,80,80,80
ROI Pixel End,,,2046,2046,2046,2046,2046,2046
CCD C4,,,2.7494990333977454e-13,2.7494990333977454e-13,2.7494990333977454e-13,2.7494990333977454e-13,2.7494990333977454e-13,2.7494990333977454e-13
Slit Width,,,25,25,25,25,25,25
Vignetted,,,True,True,True,True,True,True
Interpolated,,,False,False,False,False,False,False
Wavenumber Correction,,,0,0,0,0,0,0
Raman Intensity Corrected,,,False,False,False,False,False,False
Deconvolved,,,False,False,False,False,False,False
Region,,,,,,,,
Laser Power mW,,,,,,,,
Battery %,,,,,,,,
Device ID,,,<DeviceID USB USB:0x24aa:0x1000:0:1>,<DeviceID USB USB:0x24aa:0x1000:0:1>,<DeviceID USB USB:0x24aa:0x1000:0:1>,<DeviceID USB USB:0x24aa:0x1000:0:1>,<DeviceID USB USB:0x24aa:0x1000:0:1>,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,,,10.0.0.10,10.0.0.10,10.0.0.10,10.0.0.10,10.0.0.10,10.0.0.10
FPGA Version,,,035-001,035-001,035-001,035-001,035-001,035-001
Integration Time,,,1000,1000,1000,1000,1000,1000
Timestamp,,,2026-01-21 15:23:45.906841,2026-01-21 15:28:13.261920,2026-01-21 15:29:26.257183,2026-01-21 15:30:22.722874,2026-01-21 15:31:10.800547,2026-01-21 15:31:53.282554
Note,,,,,,,,
Temperature,,,10.02788583696173,9.993813157576085,10.010850297268917,9.993813157576085,9.976774417883234,9.993813157576085
CCD C0,,,526.0908203125,526.0908203125,526.0908203125,526.0908203125,526.0908203125,526.0908203125
CCD C1,,,0.11147542297840118,0.11147542297840118,0.11147542297840118,0.11147542297840118,0.11147542297840118,0.11147542297840118
CCD C2,,,4.83367011838709e-06,4.83367011838709e-06,4.83367011838709e-06,4.83367011838709e-06,4.83367011838709e-06,4.83367011838709e-06
CCD C3,,,-3.902286493939755e-09,-3.902286493939755e-09,-3.902286493939755e-09,-3.902286493939755e-09,-3.902286493939755e-09,-3.902286493939755e-09
CCD Offset,,,0,0,0,0,0,0
CCD Gain,,,1.9,1.9,1.9,1.9,1.9,1.9
CCD Offset Odd,,,0,0,0,0,0,0
CCD Gain Odd,,,1.9,1.9,1.9,1.9,1.9,1.9
Laser Wavelength,,,532.1,532.1,532.1,532.1,532.1,532.1
Laser Enable,,,False,False,False,False,False,False
Laser Power %,,,100,100,100,100,100,100
Laser Temperature,,,0,0,0,0,0,0
Pixel Count,,,2048,2048,2048,2048,2048,2048

WP-01416,,,CH2Br2,CH2Cl2,CHCl3,CDCl3,CCl4,C2Cl4
Pixel,Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed
80,535.04,103.19,1683.00,1750.00,1372.00,1359.00,1165.00,1735.00
81,535.15,107.11,1637.67,1674.00,1326.67,1309.33,1161.33,1694.33
82,535.26,111.03,1593.00,1592.33,1285.00,1273.67,1153.00,1645.00
83,535.37,114.94,1554.33,1536.00,1252.67,1244.67,1148.67,1588.00
84,535.49,118.85,1540.33,1485.33,1225.33,1220.00,1148.00,1547.33
85,535.60,122.77,1540.33,1462.67,1223.33,1212.00,1160.67,1527.00
86,535.71,126.68,1558.00,1424.67,1216.33,1210.00,1168.33,1506.67
87,535.82,130.59,1586.00,1404.67,1200.00,1207.67,1176.33,1485.33
88,535.94,134.50,1656.67,1375.33,1181.67,1193.67,1175.33,1462.00
89,536.05,138.40,1801.00,1341.00,1170.33,1178.00,1166.33,1438.67
90,536.16,142.31,2101.00,1315.00,1174.67,1171.67,1164.00,1438.00
91,536.27,146.21,2540.33,1281.67,1153.67,1152.67,1149.33,1415.00
92,536.38,150.12,3035.33,1255.67,1136.00,1140.67,1144.33,1406.67
93,536.50,154.02,3456.67,1243.67,1136.67,1136.00,1146.00,1403.00
94,536.61,157.92,3704.00,1226.33,1142.00,1138.00,1156.00,1411.33
95,536.72,161.82,3907.67,1213.33,1140.00,1132.00,1165.00,1412.67
96,536.83,165.71,4174.67,1193.67,1128.00,1131.00,1175.33,1410.67
97,536.95,169.61,4410.67,1191.33,1119.67,1126.33,1190.67,1412.00
98,537.06,173.50,4198.67,1178.67,1114.00,1117.00,1212.67,1410.67
99,537.17,177.40,3465.33,1174.33,1116.33,1114.33,1256.33,1408.00
100,537.28,181.29,2546.67,1183.00,1129.67,1126.00,1337.33,1420.67
101,537.40,185.18,1878.00,1191.67,1139.00,1141.33,1466.33,1434.00
102,537.51,189.07,1552.67,1201.00,1157.00,1149.67,1660.67,1455.67
103,537.62,192.96,1390.67,1176.33,1141.67,1138.00,1891.00,1443.67
104,537.73,196.84,1335.00,1186.00,1160.00,1156.33,2158.67,1466.67
105,537.84,200.73,1300.33,1194.33,1171.33,1168.33,2387.67,1520.33
106,537.96,204.61,1281.33,1208.33,1199.33,1192.00,2572.33,1638.00
107,538.07,208.49,1241.33,1184.00,1190.67,1181.67,2686.33,1800.33
108,538.18,212.37,1231.67,1178.33,1202.67,1203.67,2803.33,2027.67
109,538.29,216.25,1234.67,1199.33,1237.33,1246.00,2831.33,2270.00
110,538.41,220.13,1239.00,1221.00,1284.67,1294.67,2661.67,2442.33
111,538.52,224.01,1222.00,1212.00,1327.67,1344.00,2290.33,2539.67
112,538.63,227.88,1212.00,1203.00,1417.00,1433.67,1903.00,2655.33
113,538.74,231.76,1194.33,1207.33,1591.67,1633.67,1633.00,2776.67
114,538.86,235.63,1178.00,1220.67,1840.33,1878.67,1478.33,2729.33
115,538.97,239.50,1171.00,1241.67,2111.67,2161.67,1394.67,2438.33
116,539.08,243.37,1167.33,1263.33,2347.67,2376.33,1345.33,2021.33
117,539.19,247.24,1164.00,1295.67,2540.00,2558.67,1305.67,1697.33
118,539.31,251.11,1158.33,1356.33,2719.33,2707.33,1279.33,1536.00
119,539.42,254.97,1157.00,1479.00,2894.67,2866.67,1271.00,1478.00
120,539.53,258.84,1136.00,1629.00,2927.00,2833.67,1252.67,1431.67
121,539.64,262.70,1117.67,1820.00,2682.67,2542.67,1238.67,1403.00
122,539.76,266.56,1109.33,2023.33,2224.00,2070.00,1244.33,1394.00
123,539.87,270.42,1122.67,2218.67,1765.33,1668.33,1283.00,1411.00
124,539.98,274.28,1131.33,2362.33,1476.67,1434.67,1336.67,1422.00
125,540.09,278.14,1129.33,2481.67,1323.33,1305.00,1398.67,1418.33
126,540.21,281.99,1141.33,2542.67,1255.67,1250.33,1538.33,1422.33
127,540.32,285.85,1137.67,2425.00,1216.33,1210.67,1730.67,1421.67
128,540.43,289.70,1139.00,2117.67,1194.33,1192.33,2013.67,1424.00
