ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152813-261920-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CH2Cl2
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:28:13.261920
Note,
Temperature,9.993813157576085
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
80,535.04,103.19,1750.00
81,535.15,107.11,1674.00
82,535.26,111.03,1592.33
83,535.37,114.94,1536.00
84,535.49,118.85,1485.33
85,535.60,122.77,1462.67
86,535.71,126.68,1424.67
87,535.82,130.59,1404.67
88,535.94,134.50,1375.33
89,536.05,138.40,1341.00
90,536.16,142.31,1315.00
91,536.27,146.21,1281.67
92,536.38,150.12,1255.67
93,536.50,154.02,1243.67
94,536.61,157.92,1226.33
95,536.72,161.82,1213.33
96,536.83,165.71,1193.67
97,536.95,169.61,1191.33
98,537.06,173.50,1178.67
99,537.17,177.40,1174.33
100,537.28,181.29,1183.00
101,537.40,185.18,1191.67
102,537.51,189.07,1201.00
103,537.62,192.96,1176.33
104,537.73,196.84,1186.00
105,537.84,200.73,1194.33
106,537.96,204.61,1208.33
107,538.07,208.49,1184.00
108,538.18,212.37,1178.33
109,538.29,216.25,1199.33
110,538.41,220.13,1221.00
111,538.52,224.01,1212.00
112,538.63,227.88,1203.00
113,538.74,231.76,1207.33
114,538.86,235.63,1220.67
115,538.97,239.50,1241.67
116,539.08,243.37,1263.33
117,539.19,247.24,1295.67
118,539.31,251.11,1356.33
119,539.42,254.97,1479.00
120,539.53,258.84,1629.00
121,539.64,262.70,1820.00
122,539.76,266.56,2023.33
123,539.87,270.42,2218.67
124,539.98,274.28,2362.33
125,540.09,278.14,2481.67
126,540.21,281.99,2542.67
127,540.32,285.85,2425.00
128,540.43,289.70,2117.67
129,540.54,293.55,1774.67
130,540.66,297.40,1523.67
131,540.77,301.25,1388.67
132,540.88,305.10,1300.67
133,540.99,308.95,1271.33
134,541.11,312.79,1243.00
135,541.22,316.64,1221.33
136,541.33,320.48,1195.00
137,541.44,324.32,1186.67
138,541.56,328.16,1185.00
139,541.67,332.00,1184.33
140,541.78,335.84,1174.33
141,541.89,339.67,1172.33
142,542.01,343.50,1148.67
143,542.12,347.34,1157.00
144,542.23,351.17,1158.33
145,542.34,355.00,1201.00
146,542.46,358.83,1192.67
147,542.57,362.65,1186.33
148,542.68,366.48,1148.33
149,542.80,370.30,1152.00
150,542.91,374.13,1152.67
151,543.02,377.95,1146.33
152,543.13,381.77,1134.33
153,543.25,385.59,1140.00
154,543.36,389.41,1159.00
155,543.47,393.22,1159.67
156,543.58,397.04,1146.33
157,543.70,400.85,1139.33
158,543.81,404.66,1152.67
159,543.92,408.47,1150.00
160,544.03,412.28,1158.67
161,544.15,416.09,1154.33
162,544.26,419.90,1188.67
163,544.37,423.70,1172.33
164,544.49,427.51,1164.00
165,544.60,431.31,1134.00
166,544.71,435.11,1132.67
167,544.82,438.91,1135.67
168,544.94,442.71,1138.33
169,545.05,446.51,1142.33
170,545.16,450.30,1146.33
171,545.28,454.10,1143.67
172,545.39,457.89,1163.00
173,545.50,461.68,1171.33
174,545.61,465.47,1184.67
175,545.73,469.26,1202.00
176,545.84,473.05,1198.67
177,545.95,476.83,1198.67
178,546.06,480.62,1173.33
179,546.18,484.40,1165.67
180,546.29,488.18,1153.67
181,546.40,491.96,1144.67
182,546.52,495.74,1155.67
183,546.63,499.52,1171.67
184,546.74,503.30,1172.33
185,546.85,507.07,1158.33
186,546.97,510.84,1138.00
187,547.08,514.62,1145.67
188,547.19,518.39,1145.00
189,547.31,522.16,1160.67
190,547.42,525.93,1149.33
191,547.53,529.69,1146.67
192,547.65,533.46,1135.33
193,547.76,537.22,1167.00
194,547.87,540.98,1170.33
195,547.98,544.74,1175.33
196,548.10,548.50,1154.33
197,548.21,552.26,1172.00
198,548.32,556.02,1184.33
199,548.44,559.78,1182.33
200,548.55,563.53,1161.33
201,548.66,567.28,1132.00
202,548.77,571.03,1130.67
203,548.89,574.79,1141.67
204,549.00,578.53,1155.00
205,549.11,582.28,1143.00
206,549.23,586.03,1156.00
207,549.34,589.77,1151.00
208,549.45,593.52,1150.33
209,549.57,597.26,1134.00
210,549.68,601.00,1137.67
211,549.79,604.74,1142.33
212,549.90,608.48,1144.33
213,550.02,612.21,1143.00
214,550.13,615.95,1155.00
215,550.24,619.68,1155.00
216,550.36,623.41,1178.00
217,550.47,627.14,1194.33
218,550.58,630.87,1200.67
219,550.70,634.60,1188.67
220,550.81,638.33,1180.67
221,550.92,642.05,1176.00
222,551.03,645.78,1179.67
223,551.15,649.50,1180.67
224,551.26,653.22,1204.33
225,551.37,656.94,1229.00
226,551.49,660.66,1244.33
227,551.60,664.38,1279.00
228,551.71,668.09,1359.33
229,551.83,671.81,1442.33
230,551.94,675.52,1571.33
231,552.05,679.23,1787.33
232,552.17,682.94,2205.33
233,552.28,686.65,2760.33
234,552.39,690.36,3360.00
235,552.50,694.07,3903.00
236,552.62,697.77,4210.67
237,552.73,701.47,4140.67
238,552.84,705.18,3591.33
239,552.96,708.88,2832.67
240,553.07,712.58,2184.67
241,553.18,716.27,1835.67
242,553.30,719.97,1695.67
243,553.41,723.67,1679.00
244,553.52,727.36,1696.67
245,553.64,731.05,1734.67
246,553.75,734.74,1734.67
247,553.86,738.43,1723.33
248,553.98,742.12,1684.67
249,554.09,745.81,1605.00
250,554.20,749.49,1525.67
251,554.32,753.18,1436.00
252,554.43,756.86,1376.00
253,554.54,760.54,1324.33
254,554.65,764.22,1302.67
255,554.77,767.90,1283.00
256,554.88,771.58,1255.67
257,554.99,775.25,1237.33
258,555.11,778.93,1224.67
259,555.22,782.60,1226.00
260,555.33,786.27,1210.33
261,555.45,789.94,1189.33
262,555.56,793.61,1174.00
263,555.67,797.28,1175.00
264,555.79,800.95,1184.00
265,555.90,804.61,1172.00
266,556.01,808.28,1168.33
267,556.13,811.94,1148.67
268,556.24,815.60,1149.33
269,556.35,819.26,1137.33
270,556.47,822.92,1129.67
271,556.58,826.57,1122.00
272,556.69,830.23,1132.67
273,556.81,833.88,1147.33
274,556.92,837.54,1149.33
275,557.03,841.19,1136.67
276,557.15,844.84,1138.67
277,557.26,848.49,1146.33
278,557.37,852.13,1158.33
279,557.49,855.78,1153.00
280,557.60,859.42,1139.00
281,557.71,863.07,1148.00
282,557.83,866.71,1142.33
283,557.94,870.35,1150.00
284,558.05,873.99,1154.33
285,558.17,877.62,1167.00
286,558.28,881.26,1168.00
287,558.39,884.89,1160.00
288,558.51,888.53,1169.00
289,558.62,892.16,1176.67
290,558.73,895.79,1164.33
291,558.85,899.42,1227.00
292,558.96,903.05,1229.67
293,559.07,906.67,1221.00
294,559.19,910.30,1157.00
295,559.30,913.92,1157.67
296,559.41,917.55,1162.67
297,559.53,921.17,1159.00
298,559.64,924.79,1152.67
299,559.75,928.41,1157.00
300,559.87,932.02,1139.00
301,559.98,935.64,1127.67
302,560.09,939.25,1139.67
303,560.21,942.86,1153.67
304,560.32,946.48,1170.67
305,560.43,950.09,1156.33
306,560.55,953.70,1184.33
307,560.66,957.30,1173.67
308,560.77,960.91,1175.33
309,560.89,964.51,1138.00
310,561.00,968.12,1138.00
311,561.11,971.72,1131.33
312,561.23,975.32,1140.00
313,561.34,978.92,1133.00
314,561.45,982.52,1141.00
315,561.57,986.11,1141.00
316,561.68,989.71,1154.33
317,561.79,993.30,1143.00
318,561.91,996.89,1135.00
319,562.02,1000.48,1131.67
320,562.13,1004.07,1136.67
321,562.25,1007.66,1144.67
322,562.36,1011.25,1137.67
323,562.47,1014.83,1130.67
324,562.59,1018.42,1116.33
325,562.70,1022.00,1122.67
326,562.81,1025.58,1143.67
327,562.93,1029.16,1163.33
328,563.04,1032.74,1159.67
329,563.15,1036.32,1164.67
330,563.27,1039.89,1144.33
331,563.38,1043.47,1147.33
332,563.49,1047.04,1132.33
