ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152926-257183-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CHCl3
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:29:26.257183
Note,
Temperature,10.010850297268917
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
80,535.04,103.19,1372.00
81,535.15,107.11,1326.67
82,535.26,111.03,1285.00
83,535.37,114.94,1252.67
84,535.49,118.85,1225.33
85,535.60,122.77,1223.33
86,535.71,126.68,1216.33
87,535.82,130.59,1200.00
88,535.94,134.50,1181.67
89,536.05,138.40,1170.33
90,536.16,142.31,1174.67
91,536.27,146.21,1153.67
92,536.38,150.12,1136.00
93,536.50,154.02,1136.67
94,536.61,157.92,1142.00
95,536.72,161.82,1140.00
96,536.83,165.71,1128.00
97,536.95,169.61,1119.67
98,537.06,173.50,1114.00
99,537.17,177.40,1116.33
100,537.28,181.29,1129.67
101,537.40,185.18,1139.00
102,537.51,189.07,1157.00
103,537.62,192.96,1141.67
104,537.73,196.84,1160.00
105,537.84,200.73,1171.33
106,537.96,204.61,1199.33
107,538.07,208.49,1190.67
108,538.18,212.37,1202.67
109,538.29,216.25,1237.33
110,538.41,220.13,1284.67
111,538.52,224.01,1327.67
112,538.63,227.88,1417.00
113,538.74,231.76,1591.67
114,538.86,235.63,1840.33
115,538.97,239.50,2111.67
116,539.08,243.37,2347.67
117,539.19,247.24,2540.00
118,539.31,251.11,2719.33
