Epsilon=1, Sigma=1, Cutoff=3, Particles=1000, pressure=0.1
warm_cycles=50, warm_steps=100, cool_cycles=100, cool_steps=1000, n_cycles=100, n_steps=100,  gamma_v=0.0
Kommentar:   

temp 	  vol 	 pressure 	 time 
0.2	985.3707	-0.0654	592.4
0.21	984.1324	0.132	1017.3
0.22	982.6921	0.0424	2080.7
0.23	986.7251	-0.0233	2755.7
0.24	982.5434	0.2366	3068.0
0.25	987.3975	0.0134	3376.4
0.26	986.5669	0.1733	3551.9
0.27	993.3491	0.0321	3696.4
0.28	987.6589	0.2796	3746.2
0.29	991.1908	0.1722	3795.2
0.3	996.5586	0.1132	3839.6
0.31	999.5951	0.0197	3889.6
0.321	1000.7738	0.1001	3938.7
0.331	1003.2977	0.0737	3986.5
0.341	1001.2773	0.1149	4035.5
0.351	1000.3357	0.178	4084.5
0.361	1006.1062	0.115	4134.1
0.371	1008.4865	-0.0139	4183.0
0.381	1008.9762	0.0562	4231.8
0.391	1012.2452	0.1515	4280.5
0.401	1018.3185	-0.1384	4326.0
0.411	1021.3276	-0.0112	4373.3
0.421	1014.2623	0.1702	4421.1
0.431	1018.7114	0.1009	4465.0
0.441	1022.7224	0.2098	4514.9
0.451	1023.4501	0.195	4558.2
0.461	1021.8762	0.3132	4608.0
0.471	1030.0036	0.0488	4657.2
0.481	1031.6212	0.4394	4705.9
0.491	1040.1571	0.0029	4754.7
0.501	1042.6572	-0.1312	4801.3
0.511	1035.7795	0.3466	4842.5
0.521	1052.8211	-0.2394	4883.6
0.531	1051.7464	-0.0293	4931.8
0.541	1043.0329	0.2921	4974.8
0.552	1060.8931	-0.2671	5021.6
0.562	1049.9983	0.2155	5067.8
0.572	1046.66	0.4872	5114.9
0.582	1064.5141	0.0602	5157.9
0.592	1075.0023	0.0203	5200.9
0.602	1061.7964	0.0324	5245.0
0.612	1093.1066	0.1581	5288.6
0.622	1091.1711	0.2113	5332.5
0.632	1098.9771	0.146	5375.0
0.642	1108.1161	0.0709	5416.9
0.652	1101.1556	0.0108	5459.8
0.662	1111.1302	0.1445	5503.6
0.672	1155.1305	0.2043	5547.1
0.682	1221.8268	-0.1849	5589.8
0.692	1217.5499	0.165	5632.8
0.702	1239.8885	0.1214	5675.9
0.712	1228.6199	0.1634	5718.7
0.722	1235.9367	-0.0023	5761.3
0.732	1237.5633	0.105	5804.1
0.742	1255.1929	0.1318	5845.5
0.752	1259.4078	0.2442	5887.3
0.762	1281.4408	0.2489	5929.5
0.772	1275.304	0.3209	5970.0
0.783	1280.879	0.1033	6012.1
0.793	1286.571	0.2468	6053.7
0.803	1295.785	-0.0239	6095.3
0.813	1309.2009	0.0966	6136.5
0.823	1324.6902	-0.1135	6178.4
0.833	1309.2637	0.2366	6219.3
0.843	1326.8117	0.1304	6260.4
0.853	1349.4626	-0.1012	6300.5
0.863	1336.4422	0.0272	6340.3
0.873	1367.1325	-0.0111	6381.3
0.883	1360.8168	0.0776	6421.5
0.893	1409.3118	0.0031	6461.5
0.903	1385.9042	0.0777	6501.8
0.913	1408.6882	0.1801	6543.2
0.923	1427.9023	0.1074	6582.5
0.933	1442.9045	0.1762	6622.8
0.943	1453.9796	0.086	6664.0
0.953	1466.2845	-0.0059	6704.5
0.963	1479.0995	0.2448	6743.6
0.973	1446.1901	0.2492	6783.3
0.983	1510.229	0.0851	6823.5
0.993	1493.4255	0.0296	6863.8
1.003	1480.7167	0.093	6903.9
1.014	1506.4883	0.1127	6943.4
1.024	1550.6724	-0.0552	6983.5
1.034	1618.4764	0.1091	7023.0
1.044	1598.3794	0.1944	7061.5
1.054	1590.342	0.3533	7097.4
1.064	1669.0436	-0.064	7133.9
1.074	1690.0399	0.085	7171.7
1.084	1652.814	0.0658	7208.4
1.094	1745.1909	0.1263	7246.6
1.104	1785.634	0.2594	7285.0
1.114	1941.6611	0.0618	7323.8
1.124	1837.2013	0.0391	7361.4
1.134	2050.9012	0.0257	7398.6
1.144	1918.8366	0.2473	7437.2
1.154	1984.2079	0.1596	7474.4
1.164	2340.7201	0.1681	7511.0
1.174	3082.0769	0.1163	7530.5
1.184	5708.9761	0.0776	7546.2
1.194	9251.4436	0.104	7559.1
1.204	9878.8778	0.099	7567.4
1.214	7320.5874	0.1285	7576.8
1.224	6028.6899	0.0973	7588.7
1.234	8185.2771	0.0855	7600.1
1.245	10555.9098	0.0941	7608.3
1.255	10122.2104	0.0911	7616.1
1.265	7729.7616	0.0919	7624.3
1.275	7609.4288	0.1152	7636.4
1.285	10290.0527	0.0914	7645.4
1.295	11768.1548	0.0871	7652.6
1.305	10254.3795	0.1038	7659.8
1.315	8365.5832	0.1072	7667.5
1.325	9195.7585	0.0932	7676.7
1.335	11573.9284	0.093	7684.0
1.345	12328.147	0.0922	7691.6
1.355	10585.4237	0.0975	7698.6
1.365	9133.6873	0.0926	7706.2
1.375	10254.9611	0.0969	7713.9
1.385	12454.3379	0.0993	7721.3
1.395	12832.9969	0.0815	7728.4
1.405	11024.5909	0.1033	7735.9
1.415	9844.4784	0.1173	7743.3
1.425	11508.5409	0.0883	7751.2
1.435	13670.9339	0.0962	7758.4
1.445	13499.8469	0.0863	7765.5
1.455	11391.8921	0.1098	7772.9
1.466	10773.9689	0.1015	7780.2
1.476	12596.3103	0.0924	7787.4
1.486	14254.4084	0.0867	7794.3
1.496	13691.035	0.0868	7801.1
1.506	11806.8067	0.1137	7808.2
1.516	11651.7754	0.1162	7815.3
1.526	13877.9257	0.0992	7822.6
1.536	15339.3009	0.0885	7829.7
1.546	14389.5115	0.0978	7836.9
1.556	12303.2872	0.11	7844.0
1.566	12476.4032	0.1109	7850.9
1.576	14825.7626	0.1009	7858.0
1.586	16084.4921	0.0866	7865.1
1.596	14634.2951	0.0968	7872.1
1.606	12584.1865	0.1255	7879.4
1.616	13223.7573	0.1126	7886.7
1.626	15687.9817	0.1	7894.0
1.636	16881.2264	0.0887	7901.0
1.646	15450.3706	0.0907	7908.2
1.656	13217.1446	0.1206	7915.6
1.666	13547.0272	0.1066	7923.0
1.676	16191.4126	0.0914	7930.2
1.686	17630.9046	0.0826	7937.2
1.697	16455.3601	0.0943	7944.3
1.707	14237.3734	0.1147	7951.5
1.717	14031.2575	0.1027	7958.8
1.727	16188.7174	0.0948	7966.1
1.737	17921.3046	0.0888	7972.6
1.747	17371.3336	0.0925	7979.7
1.757	15415.1714	0.1006	7986.3
1.767	14782.3873	0.1005	7993.7
1.777	16154.2316	0.0992	8000.3
1.787	17871.469	0.0972	8007.3
1.797	18117.3978	0.0925	8014.3
1.807	16561.7538	0.1071	8021.3
1.817	15456.5243	0.1072	8028.6
1.827	16267.3523	0.0997	8036.0
1.837	18144.3325	0.0884	8042.5
1.847	18989.9887	0.0915	8049.2
1.857	18035.306	0.1012	8055.7
1.867	16527.6556	0.1056	8062.4
1.877	16503.6485	0.1066	8069.0
1.887	17988.3381	0.1058	8075.7
1.897	19292.0787	0.0906	8082.1
1.907	19125.4597	0.1006	8088.7
1.917	17830.47	0.1023	8095.2
1.928	16990.037	0.1139	8101.7
1.938	17845.3461	0.1017	8108.3
1.948	19445.62	0.0929	8114.9
1.958	19986.7262	0.0877	8121.3
1.968	19010.5179	0.0936	8127.8
1.978	17931.8595	0.1092	8134.4
1.988	18113.088	0.1036	8141.2
