Epsilon=1, Sigma=1, Cutoff=3, Particles=1000, pressure=0.1
warm_cycles=50, warm_steps=100, cool_cycles=50, cool_steps=100, n_cycles=10, n_steps=100,  gamma_v=0.0
Kommentar:   

temp 	  vol 	 pressure 	 time 
0.2	983.5245	0.0624	5.5
0.21	990.2734	-0.2607	10.9
0.22	994.3333	-0.2129	16.2
0.23	991.3548	-0.1122	21.0
0.24	990.8519	0.0008	25.8
0.25	990.0729	0.12	30.4
0.26	989.4245	0.251	35.1
0.27	993.8284	0.2432	39.9
0.28	1001.3142	-0.1753	44.6
0.29	1002.9409	-0.2162	49.2
0.3	1000.9017	0.0247	53.8
0.31	999.3245	0.094	58.5
0.321	1001.7245	0.2283	63.1
0.331	1005.9368	-0.0769	67.8
0.341	1008.4665	0.0047	72.4
0.351	1009.5024	0.0409	77.0
0.361	1011.7016	0.0763	81.7
0.371	1011.5052	0.0614	86.1
0.381	1007.1443	0.3466	90.7
0.391	1012.9815	0.1475	95.3
0.401	1014.4712	0.2033	100.1
0.411	1019.9473	0.0209	105.2
0.421	1022.2139	0.2237	110.3
0.431	1015.8238	0.573	115.5
0.441	1027.0148	0.0959	120.5
0.451	1029.0592	-0.0974	125.6
0.461	1027.7804	0.1181	130.5
0.471	1031.1289	0.0753	135.7
0.481	1033.4989	0.0335	140.6
0.491	1037.0372	0.0808	145.7
0.501	1036.4007	0.1771	150.3
0.511	1045.6716	0.0307	154.7
0.521	1046.1046	0.1115	159.1
0.531	1052.4384	0.0442	163.6
0.541	1050.2497	0.2642	168.0
0.552	1059.5069	-0.0031	172.5
0.562	1052.675	0.2009	176.8
0.572	1067.4201	-0.1756	181.2
0.582	1066.0458	-0.0815	185.5
0.592	1064.7632	0.3534	189.7
0.602	1073.1086	0.1116	193.8
0.612	1072.3531	0.2397	198.0
0.622	1085.5883	0.1567	202.2
0.632	1096.8245	0.0818	206.4
0.642	1092.4473	0.2087	210.7
0.652	1101.6923	0.1184	215.3
0.662	1103.2086	0.0196	219.9
0.672	1132.9255	-0.1425	224.5
0.682	1143.8465	0.2412	229.0
0.692	1188.9964	0.1452	233.4
0.702	1226.8161	0.0554	237.8
0.712	1226.9484	0.1744	242.2
0.722	1246.0838	0.1784	246.6
0.732	1249.6323	-0.1275	251.0
0.742	1265.7742	-0.1348	255.4
0.752	1253.6157	-0.0268	259.8
0.762	1249.3606	0.3513	264.2
0.772	1272.6743	-0.0856	268.6
0.783	1293.0856	0.066	273.0
0.793	1282.7188	0.3123	277.4
0.803	1279.9055	0.1818	281.8
0.813	1303.1477	0.1723	286.1
0.823	1307.0269	0.0046	290.4
0.833	1342.9881	0.1184	294.7
0.843	1304.3326	0.3014	299.0
0.853	1325.563	0.2372	303.3
0.863	1353.3841	0.4394	307.7
0.873	1360.6256	0.074	312.2
0.883	1358.7521	0.053	316.5
0.893	1354.3234	0.0609	320.8
0.903	1419.7573	0.2267	325.1
0.913	1403.4091	0.1973	329.5
0.923	1438.5786	0.0542	333.7
0.933	1412.3534	0.1071	338.0
0.943	1471.9894	-0.0956	342.1
0.953	1457.5411	0.0391	346.2
0.963	1479.4694	0.0452	350.4
0.973	1466.4401	0.2952	354.6
0.983	1476.4666	0.1881	358.8
0.993	1547.9601	0.0418	363.0
1.003	1510.9016	0.1853	367.1
1.014	1521.7809	0.155	371.3
1.024	1587.0146	0.0765	375.4
1.034	1600.6415	-0.0006	379.5
1.044	1562.4638	0.2288	383.8
1.054	1577.9609	0.1174	388.0
1.064	1599.7082	0.2744	392.1
1.074	1698.4841	0.0774	396.0
1.084	1693.1638	0.1326	400.0
1.094	1712.6068	0.1664	404.0
1.104	1775.6663	0.0238	407.9
1.114	1793.8338	0.0464	411.7
1.124	1786.1298	0.0162	415.6
1.134	1827.1506	0.2032	419.3
1.144	1913.8303	0.0554	423.2
1.154	2008.1374	0.2841	435.9
1.164	2139.5693	0.0097	452.7
1.174	2226.7744	0.0612	466.7
1.184	2318.0814	0.0571	480.3
1.194	2440.4918	0.1054	497.6
1.204	2586.2368	0.1951	509.9
1.214	2754.5246	0.1798	521.9
1.224	2997.6391	0.1773	533.2
1.234	3303.5572	0.0521	545.5
1.245	3690.9217	0.1271	553.1
