Epsilon=1, Sigma=1, Cutoff=3, Particles=1000, pressure=0.1
warm_cycles=50, warm_steps=100, cool_cycles=100, cool_steps=1000, n_cycles=100, n_steps=1000,  gamma_v=0.0
Kommentar:   

temp 	  vol 	 pressure 	 time 
0.2	979.8249	-0.0391	4477.7
0.21	978.9128	0.047	5074.8
0.22	978.3186	0.2844	5567.8
0.23	982.3085	0.1031	6058.4
0.24	984.1956	0.1089	6554.3
0.25	983.6392	0.2101	7024.8
0.26	989.1782	0.1226	7515.9
0.27	986.9581	0.2245	8006.8
0.28	992.3006	-0.0409	8487.1
0.29	992.992	-0.0173	8961.3
0.3	993.2098	0.0941	9422.1
0.31	996.6967	0.0398	9791.5
0.321	997.3755	0.0703	10162.5
0.331	999.5122	0.0616	10533.0
0.341	999.7525	0.1408	10902.9
0.351	1003.7013	0.0152	11272.8
0.361	1008.4065	-0.0809	11643.2
0.371	1003.157	0.1791	12014.1
0.381	1008.1467	0.1217	12377.7
0.391	1006.3808	0.2326	12744.1
0.401	1008.2567	0.2774	13109.3
0.411	1012.3054	0.3092	13478.1
0.421	1017.9375	0.0574	13849.4
0.431	1019.4145	0.0223	14214.9
0.441	1016.937	0.3569	14583.2
0.451	1019.8	0.1645	14950.0
0.461	1023.6765	0.1117	15313.7
0.471	1023.4488	0.2404	15676.1
0.481	1022.1473	0.3798	16037.4
0.491	1031.324	0.2858	16399.6
0.501	1031.4468	0.2702	16758.4
0.511	1032.9253	0.2597	17117.8
0.521	1032.4294	0.3957	17479.5
0.531	1043.0282	-0.0558	17840.1
0.541	1049.571	0.2193	18201.3
0.552	1057.5162	-0.2344	18565.2
0.562	1053.834	0.2957	18927.9
0.572	1058.3104	0.0842	19283.5
0.582	1071.3781	0.0594	19637.1
0.592	1073.9296	0.1398	19986.4
0.602	1088.526	-0.0832	20338.7
0.612	1078.9086	0.3222	20667.2
0.622	1098.992	0.0909	20978.3
0.632	1100.0103	0.0464	21292.9
0.642	1104.2223	0.2452	21604.5
0.652	1172.9527	0.0554	21915.4
0.662	1184.1013	0.2831	22218.7
0.672	1198.4976	0.118	22521.6
0.682	1222.9404	-0.0771	22823.9
0.692	1214.475	0.086	23125.5
0.702	1237.2546	0.0636	23426.8
0.712	1222.8296	-0.1287	23726.9
0.722	1226.9777	0.1825	24027.4
0.732	1244.1306	0.1118	24327.4
0.742	1260.7595	-0.0144	24625.6
0.752	1265.7002	-0.1485	24923.1
0.762	1275.8847	0.0563	25220.0
0.772	1290.1615	0.1275	25516.1
0.783	1303.4481	-0.0068	25812.2
0.793	1299.824	-0.0686	26108.8
0.803	1315.1914	-0.1099	26403.8
0.813	1317.8521	0.2781	26698.0
0.823	1291.5549	0.2089	26992.0
0.833	1315.7675	0.099	27284.9
0.843	1314.7175	0.2916	27577.0
0.853	1356.7416	0.0752	27869.1
0.863	1360.0054	-0.0848	28160.6
0.873	1353.7719	-0.041	28450.5
0.883	1391.1116	-0.039	28739.7
0.893	1373.3132	0.1225	29028.5
0.903	1399.3254	-0.07	29316.5
0.913	1396.8109	0.12	29603.9
0.923	1414.2209	0.0977	29891.1
0.933	1418.8853	0.2713	30177.4
0.943	1431.1462	0.2972	30462.5
0.953	1458.0472	0.1703	30745.4
0.963	1489.9032	-0.0426	31027.9
0.973	1474.0389	0.1038	31310.1
0.983	1483.1164	0.0283	31591.1
0.993	1489.8835	0.1347	31870.2
1.003	1536.908	0.0025	32149.1
1.014	1574.5553	-0.0088	32427.6
1.024	1633.3881	0.0843	32705.2
1.034	1541.7499	0.1805	32983.0
1.044	1638.3436	0.1782	33256.5
1.054	1654.5526	-0.0283	33528.5
1.064	1710.4507	0.1923	33802.0
1.074	1661.5032	0.1297	34072.2
1.084	1649.6644	0.2428	34342.9
1.094	1749.1532	0.0069	34611.9
1.104	1791.2061	0.0291	34878.2
1.114	1847.8103	0.1361	35141.7
1.124	1916.8359	0.1544	35406.1
1.134	1995.0605	0.149	35665.6
1.144	2048.0784	-0.0789	35920.8
1.154	1946.69	0.144	36170.6
1.164	6763.4163	0.0824	36270.1
1.174	6267.5802	0.1166	36360.1
1.184	6345.1498	0.1177	36447.1
1.194	6156.4782	0.1062	36533.7
1.204	6817.1134	0.1146	36621.5
1.214	6825.2024	0.0935	36700.6
1.224	7360.6309	0.119	36776.4
1.234	7862.2049	0.0989	36850.4
1.245	8216.9382	0.11	36924.7
1.255	8953.502	0.0975	36995.0
1.265	8873.6577	0.1192	37056.9
1.275	8952.6384	0.0935	37118.6
1.285	9571.6042	0.0997	37181.4
1.295	10169.36	0.0994	37242.6
1.305	10304.6078	0.1099	37303.0
1.315	10038.8915	0.0867	37364.7
