Epsilon=1.0, Sigma=1.0, Cutoff/Sigma =3.0, Particles=1000
n_cycles=100, n_steps=1000, warm_cycles=50, warm_steps=100, cool_cycles=100, cool_steps=10000, gamma_0=0.2
Kommentar:  

temp 	  pressure 	 time 
0.25	5.76e-06	156.8
0.26	7.04e-06	453.2
0.27	9.58e-06	913.4
0.28	5.37e-06	1262.7
0.29	4e-08	1490.4
0.3	6.59e-06	1687.9
0.31	3.88e-06	1886.4
0.32	1.233e-05	2106.6
0.33	1.387e-05	2318.7
0.34	2.099e-05	2510.9
0.35	1.241e-05	2731.0
0.36	1.383e-05	2948.0
0.37	2.366e-05	3181.3
0.38	2.342e-05	3426.2
0.39	2.641e-05	3680.2
0.4	2.218e-05	3933.7
0.41	3.754e-05	4189.0
0.42	4.45e-05	4410.9
0.43	5.112e-05	4630.9
0.44	7.262e-05	4865.5
0.45	0.00010398	5093.2
0.46	0.00011877	5354.4
0.47	0.00015047	5616.7
0.48	0.00018189	5789.6
0.49	0.00024048	5950.3
0.5	0.00030228	6074.2
0.51	0.00035917	6205.9
0.52	0.00040718	6310.2
0.53	0.0004741	6385.2
0.54	0.0005223	6435.8
0.55	0.00053236	6490.1
0.56	0.00054114	6546.4
0.57	0.00055238	6604.5
0.58	0.00056105	6665.6
0.59	0.00057133	6737.5
0.6	0.00058206	6793.8
0.61	0.00059111	6850.9
0.62	0.00060117	6915.7
0.63	0.00061237	6971.9
0.64	0.00062291	7021.2
0.65	0.00063129	7069.7
0.66	0.00064313	7127.4
0.67	0.00065178	7187.5
0.68	0.00066238	7241.7
0.69	0.00067233	7298.7
0.7	0.00067962	7353.9
0.71	0.00069209	7410.4
0.72	0.00069838	7468.5
0.73	0.00071226	7535.9
0.74	0.0007238	7593.1
0.75	0.00073111	7649.5
0.76	0.00074	7709.6
0.77	0.00074903	7766.0
0.78	0.00076073	7821.7
0.79	0.00077113	7889.3
0.8	0.00077813	7944.9
0.81	0.00078771	8013.1
0.82	0.00079901	8069.5
0.83	0.00081072	8129.6
0.84	0.00081865	8187.7
0.85	0.0008288	8234.3
0.86	0.00083947	8284.6
0.87	0.0008457	8331.8
0.88	0.00085694	8380.3
0.89	0.00086988	8426.9
0.9	0.00087747	8473.7
0.91	0.00088999	8522.8
0.92	0.00090064	8571.8
0.93	0.00090685	8618.0
0.94	0.00091831	8668.0
0.95	0.00092979	8715.9
0.96	0.00093975	8764.2
0.97	0.00094834	8811.2
0.98	0.00095738	8858.2
0.99	0.00097018	8906.4
1.0	0.00097809	8951.1
