Epsilon=1.0, Sigma=1.0, Cutoff/Sigma =3.0, Particles=1000
n_cycles=100, n_steps=1000, warm_cycles=50, warm_steps=100, cool_cycles=100, cool_steps=10000, gamma_0=0.2
Kommentar:  

temp 	  pressure 	 time 
0.25	5.76e-06	165.9
0.26	7.04e-06	353.9
0.27	9.58e-06	612.6
0.28	5.37e-06	890.1
0.29	4e-08	1107.0
0.3	6.59e-06	1328.3
0.31	3.88e-06	1508.9
0.32	1.233e-05	1703.0
0.33	1.387e-05	1910.4
0.34	2.099e-05	2102.4
0.35	1.241e-05	2313.9
0.36	1.383e-05	2545.6
0.37	2.366e-05	2794.2
0.38	2.342e-05	3039.5
0.39	2.641e-05	3270.3
0.4	2.218e-05	3524.3
0.41	3.754e-05	3757.9
0.42	4.45e-05	3980.6
0.43	5.112e-05	4200.2
0.44	7.262e-05	4452.1
0.45	0.00010398	4661.3
0.46	0.00011877	4893.5
0.47	0.00015047	5123.5
0.48	0.00018189	5322.4
0.49	0.00024048	5466.2
0.5	0.00030228	5602.6
0.51	0.00035917	5716.6
0.52	0.00040718	5819.6
0.53	0.0004741	5906.3
0.54	0.0005223	5961.9
0.55	0.00053236	6031.3
0.56	0.00054114	6085.3
0.57	0.00055238	6142.5
0.58	0.00056105	6191.9
0.59	0.00057133	6249.4
0.6	0.00058206	6308.0
0.61	0.00059111	6367.6
0.62	0.00060117	6420.3
0.63	0.00061237	6471.1
0.64	0.00062291	6533.0
0.65	0.00063129	6596.5
0.66	0.00064313	6655.7
0.67	0.00065178	6713.1
0.68	0.00066238	6776.0
0.69	0.00067233	6844.7
0.7	0.00067962	6906.0
0.71	0.00069209	6960.1
0.72	0.00069838	7008.1
0.73	0.00071226	7054.9
0.74	0.0007238	7103.1
0.75	0.00073111	7147.5
0.76	0.00074	7194.7
0.77	0.00074903	7242.3
0.78	0.00076073	7286.7
0.79	0.00077113	7334.7
0.8	0.00077813	7383.9
0.81	0.00078771	7430.3
0.82	0.00079901	7480.5
0.83	0.00081072	7527.0
0.84	0.00081865	7574.0
0.85	0.0008288	7619.5
0.86	0.00083947	7667.0
0.87	0.0008457	7717.4
0.88	0.00085694	7766.7
0.89	0.00086988	7813.9
0.9	0.00087747	7851.0
0.91	0.00088999	7875.2
0.92	0.00090064	7899.0
0.93	0.00090685	7924.1
0.94	0.00091831	7950.2
0.95	0.00092979	7975.2
0.96	0.00093975	8001.2
0.97	0.00094834	8027.4
0.98	0.00095738	8052.0
0.99	0.00097018	8077.4
1.0	0.00097809	8102.2
