Epsilon=1.0, Sigma=1.0, Cutoff/Sigma =3.0, Particles=1000
n_cycles=200, n_steps=4000, warm_cycles=50, warm_steps=100, cool_cycles=100, cool_steps=10000, gamma_0=0.2
Kommentar:  

temp 	  pressure 	 time 
0.25	5.29e-06	1729.0
0.26	6.9e-07	3492.5
0.27	2.43e-06	5192.3
0.28	4.86e-06	5983.2
0.29	4.41e-06	6740.1
0.3	-2.17e-06	7564.7
0.31	4.86e-06	8518.9
0.32	3.37e-06	9545.4
0.33	5.12e-06	10961.4
0.34	3.63e-06	12081.7
0.35	7.1e-07	13249.1
0.36	3.76e-06	14582.9
0.37	4.72e-06	15957.7
0.38	7.99e-06	17499.3
0.39	1.63e-05	19295.1
0.4	1.033e-05	21656.0
0.41	9.4e-06	24043.2
0.42	1.912e-05	26322.2
0.43	3.375e-05	28750.6
0.44	2.912e-05	31254.9
0.45	3.767e-05	33726.1
0.46	4.012e-05	36143.8
0.47	6.659e-05	38412.4
0.48	8.985e-05	40542.3
0.49	0.00011767	42438.2
0.5	0.0001573	44083.6
0.51	0.00021649	45331.0
0.52	0.00026567	46206.9
0.53	0.00034362	46752.9
0.54	0.00049218	46922.5
0.55	0.00053251	47021.5
0.56	0.00054307	47120.5
0.57	0.0005524	47219.7
0.58	0.00056189	47318.9
0.59	0.00057173	47418.1
0.6	0.00058276	47516.9
0.61	0.00059235	47616.1
0.62	0.00060214	47715.7
0.63	0.00061193	47815.4
0.64	0.00062152	47915.2
0.65	0.00063258	48015.0
0.66	0.0006413	48114.8
0.67	0.00065097	48215.0
0.68	0.0006616	48314.9
0.69	0.00067175	48414.9
0.7	0.00068137	48514.4
0.71	0.00069068	48614.6
0.72	0.00070093	48714.6
0.73	0.00071062	48814.9
0.74	0.00072116	48915.8
0.75	0.00072984	49016.6
0.76	0.00073969	49117.3
0.77	0.0007506	49217.3
0.78	0.00076143	49317.9
0.79	0.00077073	49418.1
0.8	0.00078041	49519.3
0.81	0.00078891	49621.0
0.82	0.00080069	49722.8
0.83	0.00081087	49823.7
0.84	0.0008187	49925.0
0.85	0.00082901	50025.9
0.86	0.00083942	50127.1
0.87	0.00084958	50228.5
0.88	0.00085841	50329.3
0.89	0.00086813	50430.4
0.9	0.00087948	50531.3
0.91	0.0008888	50632.4
0.92	0.00089903	50733.6
0.93	0.00090915	50836.3
0.94	0.00091698	50939.8
0.95	0.00092867	51041.5
0.96	0.00093906	51143.4
0.97	0.00094836	51245.2
0.98	0.00095694	51347.9
0.99	0.00096726	51449.8
1.0	0.00097718	51551.6
