[Info]
Created	20.11.2023 20:05:44
by	Nadja
	
NoStds	0
NoSamples	1
NoScanDims	1
NoScanPoints(1)	801

[Setup]
CalibType	None
StartOn	Keyboard
Ordinate	T
Scan Start	1000
Scan End	200
Scan Step	1,0
Scan Speed	480
Slit Width	2
LampUV	On
LampVIS	On
LampChange	326
Wl	1000

[Sample Info]
SamplePos	2	
SampleID	Sample 1	
Required	false	

[SampleData]
Wl	T(Sample 1)	
200,0	0,01	
201,0	0,00	
202,0	0,00	
203,0	0,00	
204,0	0,00	
205,0	0,00	
206,0	0,00	
207,0	0,00	
208,0	0,00	
209,0	0,00	
210,0	0,00	
211,0	0,01	
212,0	0,00	
213,0	0,00	
214,0	0,00	
215,0	0,01	
216,0	0,00	
217,0	0,00	
218,0	0,01	
219,0	0,00	
220,0	0,00	
221,0	0,00	
222,0	0,00	
223,0	0,00	
224,0	0,00	
225,0	0,00	
226,0	0,00	
227,0	0,00	
228,0	0,00	
229,0	0,00	
230,0	0,00	
231,0	0,00	
232,0	0,00	
233,0	0,00	
234,0	0,00	
235,0	0,00	
236,0	0,00	
237,0	0,00	
238,0	0,00	
239,0	0,00	
240,0	0,01	
241,0	0,00	
242,0	0,00	
243,0	0,00	
244,0	0,00	
245,0	0,00	
246,0	0,00	
247,0	0,01	
248,0	0,00	
249,0	0,00	
250,0	0,00	
251,0	0,01	
252,0	0,02	
253,0	0,06	
254,0	0,17	
255,0	0,38	
256,0	0,72	
257,0	1,17	
258,0	1,66	
259,0	2,07	
260,0	2,34	
261,0	2,57	
262,0	2,93	
263,0	3,60	
264,0	4,38	
265,0	5,03	
266,0	5,49	
267,0	5,79	
268,0	5,98	
269,0	6,11	
270,0	6,20	
271,0	6,28	
272,0	6,32	
273,0	6,35	
274,0	6,35	
275,0	6,36	
276,0	6,35	
277,0	6,33	
278,0	6,29	
279,0	6,26	
280,0	6,21	
281,0	6,14	
282,0	6,09	
283,0	6,01	
284,0	5,93	
285,0	5,84	
286,0	5,76	
287,0	5,63	
288,0	5,44	
289,0	5,12	
290,0	4,70	
291,0	4,32	
292,0	4,13	
293,0	4,15	
294,0	4,34	
295,0	4,65	
296,0	4,88	
297,0	5,00	
298,0	4,89	
299,0	4,51	
300,0	4,03	
301,0	3,76	
302,0	3,78	
303,0	4,01	
304,0	4,28	
305,0	4,64	
306,0	5,18	
307,0	5,84	
308,0	6,48	
309,0	7,06	
310,0	7,57	
311,0	8,07	
312,0	8,63	
313,0	9,18	
314,0	9,83	
315,0	10,58	
316,0	11,46	
317,0	12,41	
318,0	13,42	
319,0	14,38	
320,0	15,12	
321,0	15,43	
322,0	15,13	
323,0	14,23	
324,0	12,95	
325,0	11,62	
326,0	10,35	
327,0	9,50	
328,0	9,12	
329,0	9,15	
330,0	9,63	
331,0	10,51	
332,0	11,81	
333,0	13,78	
334,0	16,38	
335,0	19,48	
336,0	22,76	
337,0	25,81	
338,0	28,25	
339,0	29,81	
340,0	30,60	
341,0	30,97	
342,0	31,02	
343,0	30,58	
344,0	28,51	
345,0	23,12	
346,0	14,13	
347,0	5,60	
348,0	1,48	
349,0	0,41	
350,0	0,29	
351,0	0,30	
352,0	0,40	
353,0	0,46	
354,0	0,43	
355,0	0,23	
356,0	0,09	
357,0	0,06	
358,0	0,06	
359,0	0,26	
360,0	1,24	
361,0	4,66	
362,0	12,55	
363,0	24,78	
364,0	38,80	
365,0	52,03	
366,0	63,16	
367,0	71,71	
368,0	77,20	
369,0	80,26	
370,0	81,87	
371,0	82,60	
372,0	82,91	
373,0	83,20	
374,0	83,41	
375,0	83,59	
376,0	83,66	
377,0	83,62	
378,0	83,32	
379,0	82,81	
380,0	82,02	
381,0	81,09	
382,0	79,34	
383,0	78,48	
384,0	79,94	
385,0	81,87	
386,0	83,06	
387,0	83,83	
388,0	84,29	
389,0	84,62	
390,0	84,88	
391,0	85,07	
392,0	85,24	
393,0	85,31	
394,0	85,42	
395,0	85,50	
396,0	85,53	
397,0	85,52	
398,0	85,57	
399,0	85,59	
400,0	85,62	
401,0	85,63	
402,0	85,68	
403,0	85,67	
404,0	85,69	
405,0	85,70	
406,0	85,66	
407,0	85,66	
408,0	85,66	
409,0	85,58	
410,0	85,47	
411,0	85,29	
412,0	85,00	
413,0	84,57	
414,0	83,97	
415,0	83,01	
416,0	81,66	
417,0	80,07	
418,0	78,79	
419,0	78,18	
420,0	77,62	
421,0	76,24	
422,0	74,92	
423,0	74,73	
424,0	75,24	
425,0	75,09	
426,0	72,80	
427,0	64,65	
428,0	47,25	
429,0	29,79	
430,0	24,99	
431,0	29,08	
432,0	32,95	
433,0	33,77	
434,0	31,72	
435,0	27,78	
436,0	23,09	
437,0	18,53	
438,0	14,70	
439,0	11,70	
440,0	9,62	
441,0	8,42	
442,0	7,84	
443,0	7,69	
444,0	7,71	
445,0	7,73	
446,0	7,70	
447,0	7,84	
448,0	8,41	
449,0	9,51	
450,0	11,03	
451,0	12,74	
452,0	14,35	
453,0	15,70	
454,0	16,63	
455,0	17,07	
456,0	17,04	
457,0	16,63	
458,0	16,03	
459,0	15,38	
460,0	14,73	
461,0	14,12	
462,0	13,55	
463,0	13,11	
464,0	12,72	
465,0	12,36	
466,0	11,90	
467,0	11,26	
468,0	10,44	
469,0	9,47	
470,0	8,36	
471,0	7,43	
472,0	7,15	
473,0	7,80	
474,0	9,09	
475,0	10,39	
476,0	11,63	
477,0	13,05	
478,0	14,45	
479,0	15,00	
480,0	14,31	
481,0	13,09	
482,0	12,52	
483,0	13,49	
484,0	16,35	
485,0	20,83	
486,0	26,40	
487,0	32,23	
488,0	38,05	
489,0	43,44	
490,0	47,99	
491,0	51,31	
492,0	53,28	
493,0	53,87	
494,0	53,20	
495,0	51,50	
496,0	49,06	
497,0	46,06	
498,0	42,87	
499,0	39,59	
500,0	36,35	
501,0	33,17	
502,0	29,99	
503,0	26,70	
504,0	23,17	
505,0	19,42	
506,0	15,38	
507,0	11,47	
508,0	7,99	
509,0	5,42	
510,0	3,69	
511,0	2,74	
512,0	2,36	
513,0	2,50	
514,0	3,09	
515,0	4,04	
516,0	5,06	
517,0	5,83	
518,0	6,00	
519,0	5,36	
520,0	3,91	
521,0	2,20	
522,0	0,98	
523,0	0,39	
524,0	0,18	
525,0	0,12	
526,0	0,13	
527,0	0,23	
528,0	0,52	
529,0	1,16	
530,0	2,40	
531,0	4,40	
532,0	7,30	
533,0	11,05	
534,0	15,49	
535,0	20,37	
536,0	25,38	
537,0	30,44	
538,0	35,62	
539,0	41,11	
540,0	46,58	
541,0	51,96	
542,0	56,89	
543,0	61,21	
544,0	64,78	
545,0	67,62	
546,0	69,70	
547,0	71,11	
548,0	71,99	
549,0	72,51	
550,0	72,77	
551,0	72,87	
552,0	72,79	
553,0	72,67	
554,0	72,32	
555,0	71,83	
556,0	71,09	
557,0	70,02	
558,0	68,55	
559,0	66,63	
560,0	64,02	
561,0	60,49	
562,0	55,78	
563,0	49,34	
564,0	40,88	
565,0	30,40	
566,0	19,18	
567,0	9,59	
568,0	3,51	
569,0	0,94	
570,0	0,20	
571,0	0,07	
572,0	0,04	
573,0	0,04	
574,0	0,04	
575,0	0,04	
576,0	0,04	
